"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC112531053",44.5164245880964,-1.15949666045842,0.29862457694326,-3.88279046663572,0.000103264547910227,0.623098282090311
"LOC121106852",8.5286075056045,3.53345868732792,0.884502380874534,3.99485491925334,6.47338807858292e-05,0.623098282090311
"LOC121107925",1.6167545098082,-3.41293123299186,0.876415462422399,-3.89419331279091,9.85260564703197e-05,0.623098282090311
"A1CF",1748.6560518168,-0.0664452153845985,0.260479025357395,-0.255088544244325,0.798654711925438,0.999380640908985
"A2M",7.49016443608802,0.945800078666202,0.64393329845104,1.46878579030047,0.141890899406756,0.999380640908985
"A2ML1",24.5653125921444,0.496107516473507,0.405632008887206,1.22304824472434,0.221311474815313,0.999380640908985
"A2ML2",3.05654471956263,0.275857893154231,0.755684323759516,0.365043821184279,0.715078695439161,0.999380640908985
"A2ML3",2.85931544507024,-0.579445307911252,0.713049320301586,-0.812630054350482,0.416430194809967,0.999380640908985
"A2ML4",43.800294805408,-0.0778277390786264,0.341078512352436,-0.228181302134352,0.819505296773472,0.999380640908985
"A4GALT",113.094202006246,0.681528171872395,0.422096471102873,1.61462655703249,0.10639159075947,0.999380640908985
"A4GNT",2.19411203720545,-0.0133766125980754,0.847356229149276,-0.0157862916892759,0.987404884722795,0.999380640908985
"AAAS",1338.91830232484,0.0316603256204896,0.206272499866792,0.15348786503744,0.878013559216737,0.999380640908985
"AACS",1181.55492065436,-0.0232678561601293,0.207841018063728,-0.111950260718002,0.910862844753555,0.999380640908985
"AADAC",445.7078843998,0.272627965282061,0.459494113317667,0.593321997780594,0.552965679750756,0.999380640908985
"AADACL3C",2.77301037204985,0.1210043015242,0.962633954194958,0.12570126058497,0.899968403981222,0.999380640908985
"AADACL4B",2.76494440682919,-2.56942747469141,1.01487471587496,-2.53176814290442,0.0113489006881776,0.999380640908985
"AADAT",70.6739642071042,0.267651264605058,0.341733344683143,0.783216706152059,0.433499866126811,0.999380640908985
"AAED1",244.639487061773,0.0164905387295838,0.146635354768793,0.112459500340727,0.910459080027766,0.999380640908985
"AAGAB",859.301902404,-0.0493613746232676,0.117042082628775,-0.421740398962554,0.673214513349919,0.999380640908985
"AAK1",1121.52596814921,-0.0295678803562677,0.121091021058488,-0.244178966349505,0.807092216519965,0.999380640908985
"AAMDC",193.442507453059,0.281241708424294,0.258771791400938,1.08683294613261,0.277110644574764,0.999380640908985
"AAMP",1180.79842056537,-0.0505183315930911,0.0671335249883989,-0.75250527365904,0.451747259632765,0.999380640908985
"AANAT",3.9924105495186,-0.653715681295082,0.58564513291852,-1.11623173240993,0.264322954779422,0.999380640908985
"AAR2",386.631883111031,0.0619604582503991,0.150090585088527,0.412820419174551,0.679738189998373,0.999380640908985
"AARS1",2909.1700767705,0.189798694606708,0.222349548638485,0.853605036614211,0.393323866913277,0.999380640908985
"AARS2",398.028653600765,-0.175204107912923,0.117230476014452,-1.49452696832285,0.135037938551333,0.999380640908985
"AARSD1",1903.41768262327,-0.0193442729649964,0.15393861473166,-0.125662251792486,0.899999283642756,0.999380640908985
"AASDH",92.9909833796948,-0.139750140146681,0.182870667401764,-0.764202056744577,0.444746841094537,0.999380640908985
"AASDHPPT",55.8132242544473,-0.0296629408803125,0.204380611721582,-0.145135786758095,0.884603663669323,0.999380640908985
"AASS",70.3942976110991,0.0398104448176815,0.350634413745528,0.113538327263489,0.909603778757816,0.999380640908985
"AATF",188.376668324017,0.179407950270822,0.227193252293305,0.789671121214494,0.429719860973683,0.999380640908985
"AATK",47.8316346507329,0.221640844110798,0.502061425352542,0.441461607920116,0.658878849596675,0.999380640908985
"ABAT",456.398879892348,0.114371564316429,0.229478634160511,0.49839744224916,0.61820393921144,0.999380640908985
"ABCA1",419.822566492636,0.280728508025009,0.243575974612254,1.15252954841666,0.249103534752658,0.999380640908985
"ABCA12",1.28069630380431,2.12856655913553,1.13137622457903,1.88139587247163,0.0599180879267885,0.999380640908985
"ABCA13",2.5451447894146,0.476060646264297,0.691576129307984,0.688370558337027,0.491219459235436,0.999380640908985
"ABCA2",1066.38061093791,-0.318036229303889,0.129225313281203,-2.461098535794,0.0138512318710114,0.999380640908985
"ABCA3",4008.38685354006,-0.177231791137446,0.17178109189627,-1.03173049595276,0.302198387078662,0.999380640908985
"ABCA4",7.69650105526923,0.509798925179486,0.51591493599027,0.988145311592803,0.323081487176259,0.999380640908985
"ABCA5",487.728654212132,-0.182686215735602,0.183061201335596,-0.997951583419876,0.31830283686192,0.999380640908985
"ABCA7",116.937722643406,-0.427572008660096,0.305386976066188,-1.4000990290019,0.161483665800212,0.999380640908985
"ABCA8",41.4261680300625,0.93210716398226,0.834814160778664,1.11654450508224,0.264189130970945,0.999380640908985
