NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	-0.5713907	-2.0335007	0.0	5.172413E-4	0.001	3080	tags=43%, list=17%, signal=52%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		155	-0.40552992	-1.701476	0.0	0.0105275465	0.039	2925	tags=32%, list=16%, signal=38%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		167	-0.35263154	-1.4862338	0.0036630037	0.052364346	0.24	3009	tags=22%, list=17%, signal=26%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		133	-0.35452002	-1.4551178	0.015151516	0.055294503	0.32	3649	tags=35%, list=20%, signal=43%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		122	-0.2960943	-1.192925	0.13162705	0.4190384	0.971	2421	tags=21%, list=13%, signal=24%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		164	-0.24492024	-1.0317109	0.3768116	0.9511616	1.0	4115	tags=29%, list=23%, signal=38%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		69	-0.27957025	-1.0232968	0.41996235	0.8549164	1.0	4163	tags=33%, list=23%, signal=43%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		145	-0.23583193	-0.965181	0.5348432	0.99909824	1.0	3077	tags=24%, list=17%, signal=29%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.2898547	-0.94781274	0.55728155	0.9564135	1.0	4355	tags=30%, list=24%, signal=39%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	-0.27326038	-0.9403901	0.56007755	0.88905126	1.0	5475	tags=33%, list=30%, signal=48%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	-0.2820951	-0.882614	0.636	0.9982183	1.0	1905	tags=13%, list=11%, signal=14%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	-0.23483644	-0.8370562	0.7676191	1.0	1.0	3527	tags=22%, list=19%, signal=27%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.2572334	-0.8324492	0.7407407	0.9663027	1.0	3021	tags=23%, list=17%, signal=27%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	-0.20471112	-0.788618	0.92263055	0.97427255	1.0	1441	tags=8%, list=8%, signal=8%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.22388609	-0.7300418	0.8875502	0.9630274	1.0	5034	tags=43%, list=28%, signal=60%	
