"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC112531867",22.9564463435576,4.32990341789682,0.856639650716582,5.05452136645186,4.31471455369538e-07,0.00369857331542768
"LOC121109961",37.9491811245983,-1.05522133510136,0.206403190730883,-5.112427435665,3.18045173576701e-07,0.00369857331542768
"LOC121109904",21.9333445711938,-3.17470336094737,0.652194229270977,-4.86772684955532,1.1288921390789e-06,0.00645124227745622
"LOC121107017",81.6438411054474,-0.988888876585194,0.215964349464616,-4.57894499271148,4.67327065812778e-06,0.0200296380407357
"LOC121107019",26.8270021480748,-0.980866472481884,0.219289887188595,-4.47292159732982,7.71580733927827e-06,0.0264559602049173
"CISH",1348.15713372511,0.539544329426066,0.133739241963054,4.03430078940568,5.47651288151287e-05,0.093911574749392
"LOC112531891",27.4095308648527,-1.20020626614596,0.296985671144278,-4.04129351265198,5.31571752995787e-05,0.093911574749392
"LOC121106978",28093.6482776239,-0.698172013194916,0.168436423543025,-4.14501803415801,3.39786967332014e-05,0.093911574749392
"LOC124417145",13.2233312824576,-1.38308893199455,0.342837103883567,-4.03424517453708,5.47781000638077e-05,0.093911574749392
"OPN1LW",133.257230785921,-1.03654737848344,0.252686096278895,-4.10211481259888,4.09391028183784e-05,0.093911574749392
"ANKRD9",216.692857807569,0.985636049999043,0.248383426478702,3.96820377257964,7.24164010017038e-05,0.098892083740187
"LOC112530062",12.4910046173832,-1.34456797245033,0.339547855397762,-3.95987767578517,7.49881642920224e-05,0.098892083740187
"LOC124418243",9.45735252769274,-1.3241706665313,0.331081486621365,-3.99953099173336,6.34681364535957e-05,0.098892083740187
"LOC107055350",29.6844142757368,-0.922632672127889,0.235162005298924,-3.92339175265619,8.7311004318839e-05,0.106918561288727
"KMT2D",4436.87251212284,-0.425871881080195,0.116550923975832,-3.65395542611488,0.000258231116954054,0.295140951270687
"LOC121108919",50.4253575630971,-1.01464404450801,0.280599844168169,-3.6159822095265,0.000299210925663445,0.320604506848382
"LOC107051724",15.4781638963061,-1.49107404615421,0.429939087012871,-3.46810534607096,0.000524141773373126,0.492168598297313
"LOC112530954",32.5500113682736,-0.857783095626913,0.251877165476157,-3.40556117504869,0.000660282183903301,0.492168598297313
"LOC121107011",7.78984422410814,-1.17997317411844,0.343892463176938,-3.43122720171777,0.000600857126836105,0.492168598297313
"LOC121109256",39.8329581390421,-1.21112636681556,0.349142860360029,-3.46885617413648,0.000522679187229993,0.492168598297313
"LOC124417381",27.9156481415441,-0.749010631283467,0.21816842817907,-3.43317609030345,0.000596554521131707,0.492168598297313
"LOC419389",261.880950450792,-1.91038834920051,0.560756215860169,-3.4068072634203,0.000657275227255878,0.492168598297313
"TTLL10",49.9348914122199,-0.763495265049791,0.222698074645136,-3.42838736377224,0.000607178430949479,0.492168598297313
"LOC121106942",7.69290882822904,-4.80475247281963,1.42584721661428,-3.36975267534532,0.000752356782708678,0.537433528448232
"C19orf44",90.9335872352234,-0.479447768838695,0.145349269455295,-3.29859084008784,0.000971714338709224,0.662947905848098
"LOC107050992",285.477084861836,-0.467493817870438,0.142138149763698,-3.28901015418898,0.00100540396360537,0.662947905848098
"LOC121110748",2.43531513487126,-2.39992887083035,0.732331378922693,-3.2771077956004,0.00104876321577967,0.665925798938023
"ADAM8",117.037907433673,0.672650678358916,0.207253287149531,3.24554890110672,0.0011722442941248,0.675806857569973
"LEXM",33.2425331966506,1.29183741066663,0.398925017710291,3.23829630460728,0.00120245853091788,0.675806857569973
"LOC107054727",9.78688306684445,-1.20951000586711,0.376115505205783,-3.21579405561958,0.001300841478057,0.675806857569973
"LOC112530951",15.6318920347281,-1.0478054514126,0.325006044254217,-3.22395681537854,0.00126432464475453,0.675806857569973
"LOC121106974",52.0242658578263,-1.31428838227716,0.407327553019878,-3.22661301091268,0.00125264753897766,0.675806857569973
"LOC418421",89.0068141360566,1.17560026799858,0.365101807920482,3.21992453199416,0.00128224347701452,0.675806857569973
"LOC107054034",102.841540342129,0.623897461027327,0.194847729444595,3.20197449980926,0.00136489079909568,0.680319241754042
"LOC121106834",3.54920105235699,-2.07611749030198,0.651062483951278,-3.18881450164674,0.00142857516933887,0.680319241754042
"PNRC1",2748.27287722198,0.377374492743387,0.11825367819891,3.19122837015369,0.00141669253038329,0.680319241754042
"ACIN1",1683.18114020529,-0.286484083027072,0.0902855456716908,-3.1730891240202,0.00150826217051578,0.698855314900607
"LOC100857280",88.1745132840862,-1.53297985550076,0.490463283376278,-3.12557516017906,0.00177457715593829,0.738336486775854
"LOC107049816",3.3274787127013,2.35667892964362,0.751956051492681,3.13406471690129,0.00172402828026327,0.738336486775854
"LOC112531986",6.51156747696854,-1.2702337495417,0.406199321469012,-3.1271193288751,0.00176528261756367,0.738336486775854
"LOC121110504",3.0744123034386,-2.0107559640841,0.644482936193079,-3.11995221465678,0.00180880380568046,0.738336486775854
"LOC121110835",6.14716999382671,-1.4737722984942,0.471133167106442,-3.12814380601915,0.00175914088377302,0.738336486775854
"LOC121108491",245.04427565622,-0.705913549715501,0.227555385426819,-3.10216147331095,0.00192113136113369,0.765950605936651
"ACAT1",1202.83736770259,0.451907349746651,0.147346348149244,3.06697353156608,0.00216238003839033,0.778066548810898
"ERI2",175.693461758782,-0.585071274696401,0.192554799958628,-3.03846632139063,0.00237785681949599,0.778066548810898
"LOC100859740",7.73391223228858,2.78596183560649,0.916644800259673,3.03930359373365,0.00237125762633811,0.778066548810898
"LOC101750071",4.08966306422022,-2.24334974406896,0.741069863731444,-3.02717713114552,0.0024684926214278,0.778066548810898
"LOC107050620",989.602288826894,-0.496217942598449,0.16213628214434,-3.06049908161022,0.00220968438335732,0.778066548810898
"LOC112530775",8.73647701920854,1.91983029847785,0.631898086564261,3.03819609411433,0.00237999027672777,0.778066548810898
"LOC112533601",8858.92373905352,-0.5491843952941,0.181948278870789,-3.01835443952786,0.00254151462514059,0.778066548810898
"LOC121106977",11.4848169581867,-1.09464517963449,0.356766143009594,-3.06824288426117,0.00215321531670267,0.778066548810898
"LOC121107582",25.1502632344285,-0.735475723431958,0.239598874754129,-3.06961259391008,0.00214336597488099,0.778066548810898
"LOC121109095",19.4924563982662,-1.3647167068305,0.451553000400916,-3.02227358830264,0.00250883684847755,0.778066548810898
"LOC121109567",34.2266058233002,-0.806925539527744,0.264776227737865,-3.04757548070599,0.00230695580039638,0.778066548810898
"LOC124418348",15.3880580586869,-0.964863565036657,0.317963314675037,-3.03451222359649,0.00240924992151549,0.778066548810898
"MAPKAPK5",10.7638058249526,-1.07435965398654,0.348506904881726,-3.08274997980642,0.00205097390232259,0.778066548810898
"LOC121106893",81.8564417266069,-0.778636439137736,0.258435149149296,-3.0128890814613,0.00258773479769784,0.778317988977751
"LOC121106652",22.5194161405487,-0.768286678582953,0.255610994642185,-3.00568713665244,0.00264981486601999,0.781336988805749
"LOC121106940",35.2617570475682,-2.40957906960748,0.802864103457437,-3.00122904889,0.0026889222083259,0.781336988805749
"GTF2I",512.17887997426,-0.279459131216023,0.0937978058814566,-2.97937812713027,0.00288834103072755,0.788890860717463
"LOC107051305",56.8204686688999,-0.663743295289831,0.223937622151567,-2.96396509399655,0.00303702734527255,0.788890860717463
"MAFF",494.258000232102,0.854090418769129,0.287483797821146,2.97091670988878,0.00296912293227047,0.788890860717463
"MHCY15",29.254112859338,-2.30498072681799,0.775397264999132,-2.97264490199172,0.00295245810817254,0.788890860717463
"NDUFAF2",132.18542730702,0.350146829547954,0.11805240822501,2.96602868855136,0.00301672347710883,0.788890860717463
"PAQR8",140.404450421851,0.654037860144145,0.21963869982082,2.97778970954438,0.00290335111059041,0.788890860717463
"SLC22A13",111.814441429111,-1.23551895049965,0.412837665027044,-2.99274764675048,0.002764782551069,0.788890860717463
"IL17A",10.1089572048626,2.05356035907106,0.696019694114013,2.95043427138238,0.00317327555116735,0.80770314834181
"LOC121107023",10.7166743564586,-1.05414654747179,0.357642397757437,-2.94748764151486,0.0032036755767174,0.80770314834181
"CHST11",581.897732443993,1.33784934786305,0.458093782010086,2.92047043728175,0.00349503354898156,0.824110802316351
"GABRA1",1.77962847454003,3.69913346969629,1.26957916170254,2.91366901827188,0.00357208410439232,0.824110802316351
"LOC100859636",98.740551116418,-0.530545590042957,0.18547338754918,-2.860494419461,0.00422980997329891,0.824110802316351
"LOC107049819",6.32888976525672,3.42771449451838,1.19309853152807,2.87295173360772,0.00406656239540304,0.824110802316351
"LOC107051968",14.7262172238036,-2.8793121903464,0.993633443225748,-2.89776094995249,0.00375836934408686,0.824110802316351
"LOC107054976",8.79232722986419,1.41389658296201,0.491532348943412,2.8765076927313,0.00402102394129822,0.824110802316351
"LOC112530990",138.926106192216,-0.448410116736762,0.156663597734965,-2.86224830285946,0.00420647217645115,0.824110802316351
"LOC112531259",93.4986636057188,-1.13725306266413,0.3988829481107,-2.85109470848706,0.004356899009642,0.824110802316351
"LOC121106947",2.48013597802162,-3.68779330867512,1.28502197054428,-2.86982899375108,0.00410693842715115,0.824110802316351
"LOC121106979",10.7849812809,-1.08020172512291,0.37293762827202,-2.89646751422736,0.00377389712964185,0.824110802316351
"LOC121107235",4.11885862219936,-2.30633995373298,0.81043521069302,-2.84580423370398,0.00442994198858658,0.824110802316351
"LOC121107372",35.4641682954534,-0.594118205403416,0.205435020706825,-2.89200061099261,0.00382797202487552,0.824110802316351
"LOC121107548",78.0513522784948,-0.497687388780294,0.175482276335156,-2.8361119947507,0.00456664291997511,0.824110802316351
"LOC121108721",334.380969891598,-0.562339570319993,0.194927205591647,-2.88486960356903,0.00391575813756661,0.824110802316351
"LOC121108895",10.5212041969117,-1.1422583242766,0.389613962084555,-2.93176948322172,0.00337036813828678,0.824110802316351
"LOC121108935",55.7989197197645,-0.584043555787146,0.204789113911913,-2.85192676813068,0.00434551105446964,0.824110802316351
"LOC121108946",9.77156589040413,-1.29559064096614,0.44457654904016,-2.91421273515961,0.00356586819704438,0.824110802316351
"LOC124417525",59.2354583585062,-0.689821042392665,0.243041134396366,-2.83828926369173,0.00453560583044916,0.824110802316351
"LOC770450",157.915071386817,-2.18046011745923,0.762750229842324,-2.85868169179047,0.0042540541316654,0.824110802316351
"LRRTM2",4.7129142632961,-1.61827435345777,0.558709514817107,-2.89645032085682,0.00377410392933768,0.824110802316351
"MMP1",612.613359957162,2.53761143632433,0.893417382734094,2.84034258272272,0.0045065108625611,0.824110802316351
"MMP13",57.6610363748335,1.96277225636197,0.673888293792602,2.9126077340142,0.00358424537567104,0.824110802316351
"MTHFD2",276.180908495477,0.327987867833543,0.11397724145978,2.87766104559814,0.00400635356367685,0.824110802316351
"NR4A2",34.1307158193767,0.722036767890017,0.253539294572589,2.84782983681962,0.00440184537613137,0.824110802316351
"PRDM8",232.394518195703,2.11409374459326,0.729172437191253,2.8993056193082,0.0037399015761419,0.824110802316351
"TMEM161B",577.886476578442,-0.325564637608974,0.112468747943455,-2.89471202944888,0.00379506511375757,0.824110802316351
"TP53BP1",537.45562653969,-0.222984747179024,0.0774859338338948,-2.87774485182088,0.00400528946430546,0.824110802316351
"LOC121107012",299.953274214011,-0.935985165251139,0.331390876518866,-2.82441440477573,0.00473670981169096,0.845897427204477
"CELF1",91.2177820464852,-0.51226122319184,0.183479374775478,-2.79192810537254,0.00523949963083972,0.856572046799913
"CYTH3",19.7132375348457,-0.727051847975087,0.259854147125152,-2.79792281946888,0.00514324009398531,0.856572046799913
"FRRS1L",275.232938419543,-0.40201186708693,0.14337575539351,-2.80390409092225,0.00504879211450802,0.856572046799913
"LOC101749531",646.231843047156,-0.712017593687016,0.255126467215475,-2.79084174001304,0.00525711702923138,0.856572046799913
"LOC101749926",53.3634875221659,-1.11639400612252,0.400662726097746,-2.78636851747013,0.00533022368184832,0.856572046799913
"LOC112529954",190.967332434216,-2.55619858676548,0.90953819821505,-2.81043566040653,0.00494744797316464,0.856572046799913
"LOC112530182",3.29758943902131,-3.15494562420347,1.1205046259446,-2.81564712108513,0.00486791028346579,0.856572046799913
"LOC112532217",35.4484593516383,0.650308564054936,0.233974771723699,2.77939608302252,0.00544600753040075,0.856572046799913
"LOC121111519",15.9405039843412,-1.59646265127013,0.574370243261638,-2.77950097519747,0.00544424900695655,0.856572046799913
"PGAP1",228.158659018964,-0.78742101342387,0.282559914937458,-2.78673998609519,0.00532411793280763,0.856572046799913
"PRSS23",933.93173242242,0.556473794453138,0.199931587170625,2.78332104660498,0.00538055353144605,0.856572046799913
"TMEM38B",305.189432840154,-0.333357279050098,0.11890884517386,-2.80346914952111,0.00505560687337092,0.856572046799913
"VAMP4",459.489883776036,0.516501862449986,0.184006235816603,2.80698020997928,0.0050008313840096,0.856572046799913
"LOC101747932",6.14546464133363,-1.69371053123073,0.610576999254825,-2.77395076017899,0.0055380059701389,0.863123403200557
"AGO2",503.770712478376,-0.359340482034302,0.130627524761726,-2.75087875001662,0.00594356383089207,0.890505775500774
"ARID5A",703.282298373015,0.516177079265878,0.188139877258798,2.74358146070141,0.00607729676467514,0.890505775500774
"BTN3A3L2",14.371223304545,-0.929185034726167,0.33853764397601,-2.74470225471295,0.00605658204850995,0.890505775500774
"LOC101747311",1.78027280549422,4.0073534996239,1.45662820021964,2.75111624161858,0.00593925637558197,0.890505775500774
"LOC101749146",13.5980487874834,1.08408665135047,0.394039084807608,2.75121604213396,0.00593744710381179,0.890505775500774
"LOC107052213",6.94616890426178,-1.28863543046715,0.469147394375228,-2.74676028454394,0.00601871072802215,0.890505775500774
"LOC121106747",1.9347795908392,2.72687105991642,0.991327803678816,2.75072589490278,0.00594633769809732,0.890505775500774
"LOC107050692",725.870574520934,-0.506254691750305,0.184873905930869,-2.73837829736562,0.00617430081164712,0.897052653515917
"CDC42SE1",3690.51690975729,0.219616853400242,0.0806074659899599,2.72452248316052,0.00643945458458557,0.904901716378156
"LOC121108774",3.43909512898748,2.16684762377244,0.7938657992202,2.72948856834605,0.00634326483369767,0.904901716378156
"LOC121109609",10.3930783643665,-0.884775285081041,0.324258777508999,-2.72860858810981,0.00636021462010887,0.904901716378156
"SP6",13.415857687257,1.72865876888028,0.634416861999611,2.72479953233232,0.00643405395859882,0.904901716378156
"FSTL3",91.7659466626901,1.32429090157518,0.487390945589846,2.71710197646883,0.00658563131378048,0.910516639060102
