NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.61831695	2.4056096	0.0	0.0	0.0	3707	tags=53%, list=20%, signal=66%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		146	0.59024745	2.3563259	0.0	0.0	0.0	3967	tags=49%, list=22%, signal=62%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		156	0.5789965	2.3149061	0.0	0.0	0.0	3139	tags=44%, list=17%, signal=52%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		140	0.54951966	2.159011	0.0	0.0	0.0	4378	tags=55%, list=24%, signal=72%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		69	0.590891	2.1182766	0.0	0.0	0.0	3381	tags=46%, list=19%, signal=57%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		170	0.51627624	2.1119967	0.0	0.0	0.0	5618	tags=53%, list=31%, signal=76%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		171	0.5152226	2.0945594	0.0	0.0	0.0	5773	tags=56%, list=32%, signal=81%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.5971974	2.0918236	0.0	0.0	0.0	2346	tags=42%, list=13%, signal=48%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.6078554	2.0745547	0.0	0.0	0.0	3773	tags=55%, list=21%, signal=69%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		154	0.49565724	1.9871	0.0	0.0	0.0	3190	tags=36%, list=18%, signal=43%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		110	0.51717633	1.9800156	0.0	0.0	0.0	3120	tags=32%, list=17%, signal=38%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		164	0.45712093	1.8650813	0.0	5.70305E-4	0.004	2929	tags=32%, list=16%, signal=37%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		156	0.45901537	1.8420572	0.0	7.703539E-4	0.006	5269	tags=45%, list=29%, signal=63%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		169	0.42557862	1.7295525	0.0	0.0027759604	0.023	5231	tags=46%, list=29%, signal=63%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		167	0.42422587	1.718028	0.0	0.0026908966	0.024	3277	tags=30%, list=18%, signal=36%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.4216423	1.7042753	0.0	0.0027527157	0.026	4583	tags=36%, list=25%, signal=47%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		159	0.38927925	1.5766592	0.0	0.01017638	0.099	4019	tags=30%, list=22%, signal=38%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		124	0.3964515	1.5419371	0.0019569471	0.015300431	0.153	4527	tags=40%, list=25%, signal=53%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.40163437	1.5138428	0.001968504	0.018731525	0.193	4597	tags=40%, list=25%, signal=53%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		176	0.36605075	1.5057849	0.0039525693	0.01929035	0.209	4768	tags=35%, list=26%, signal=46%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.39922363	1.4855214	0.011516315	0.022452991	0.252	3260	tags=26%, list=18%, signal=32%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	0.44642776	1.4196185	0.058270678	0.039721385	0.42	4893	tags=48%, list=27%, signal=65%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	0.4641242	1.4065987	0.06782946	0.043495823	0.465	2517	tags=23%, list=14%, signal=26%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	0.34336722	1.3581583	0.037190083	0.06361014	0.624	3608	tags=30%, list=20%, signal=38%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	0.45222104	1.3452936	0.08418891	0.068672806	0.666	2188	tags=28%, list=12%, signal=31%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	0.42052183	1.3112062	0.12643678	0.08706243	0.76	5192	tags=49%, list=28%, signal=68%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	0.33003286	1.3049358	0.05210421	0.08818426	0.774	4182	tags=27%, list=23%, signal=35%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		152	0.32363704	1.2969522	0.040816326	0.090610504	0.794	4292	tags=31%, list=24%, signal=40%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.3125874	1.2787563	0.04592902	0.10154758	0.839	4739	tags=28%, list=26%, signal=37%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.30709717	1.2528732	0.053169735	0.12115692	0.898	5421	tags=37%, list=30%, signal=52%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		132	0.31602407	1.2380908	0.085192695	0.13158928	0.926	6062	tags=39%, list=33%, signal=57%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	0.41214082	1.2342002	0.17910448	0.13058384	0.935	5394	tags=37%, list=30%, signal=52%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	0.3719417	1.217795	0.16734694	0.14505357	0.961	5699	tags=46%, list=31%, signal=67%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		172	0.29506314	1.2142695	0.0805501	0.1445062	0.964	3313	tags=20%, list=18%, signal=25%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.32527313	1.1926922	0.13121273	0.16538785	0.983	3144	tags=18%, list=17%, signal=21%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	0.3677334	1.1685094	0.22352941	0.19140188	0.99	376	tags=8%, list=2%, signal=8%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.2789634	1.1299505	0.16699411	0.2399645	0.998	4451	tags=31%, list=24%, signal=40%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		38	0.3245364	1.0396776	0.40890688	0.4037172	1.0	3167	tags=29%, list=17%, signal=35%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		124	0.23594101	0.92619485	0.6627907	0.67510545	1.0	5307	tags=36%, list=29%, signal=51%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.2305911	0.9254868	0.6645833	0.6599774	1.0	2252	tags=13%, list=12%, signal=15%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	0.2186592	0.8075836	0.8576998	0.9066762	1.0	2502	tags=13%, list=14%, signal=15%	
