NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.70847833	2.9887884	0.0	0.0	0.0	1936	tags=46%, list=11%, signal=51%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	0.62940925	2.6548417	0.0	0.0	0.0	2867	tags=49%, list=16%, signal=57%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	0.61905444	2.627411	0.0	0.0	0.0	3502	tags=52%, list=19%, signal=64%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	0.7613496	2.5585492	0.0	0.0	0.0	3325	tags=72%, list=18%, signal=88%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		140	0.53912807	2.205283	0.0	0.0	0.0	2621	tags=34%, list=15%, signal=40%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.5186189	2.1922183	0.0	0.0	0.0	4133	tags=42%, list=23%, signal=54%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		170	0.46772727	1.9435974	0.0	4.7437887E-4	0.002	3948	tags=41%, list=22%, signal=52%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	0.54854643	1.7774192	0.0040983604	0.002892581	0.015	2166	tags=35%, list=12%, signal=40%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		169	0.41898304	1.7602766	0.0	0.0032813365	0.019	2769	tags=30%, list=15%, signal=35%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	0.45137542	1.7209963	0.0	0.0040857047	0.026	3086	tags=33%, list=17%, signal=39%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.43343943	1.6699599	0.0	0.005984883	0.042	3910	tags=35%, list=22%, signal=45%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		147	0.39882097	1.648918	0.0	0.007177101	0.054	1983	tags=20%, list=11%, signal=22%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	0.39529884	1.6009878	0.0041753654	0.010321152	0.085	2133	tags=23%, list=12%, signal=26%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		156	0.38052657	1.5775783	0.0	0.012519778	0.109	2953	tags=27%, list=16%, signal=32%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		165	0.37481636	1.5719328	0.0	0.012776158	0.118	1489	tags=19%, list=8%, signal=20%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		124	0.37616625	1.5239159	0.0041237115	0.020052752	0.19	3039	tags=27%, list=17%, signal=32%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.3640894	1.5212499	0.0018761726	0.01969738	0.198	3607	tags=32%, list=20%, signal=39%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	0.4648188	1.4465652	0.05367793	0.03621688	0.346	4262	tags=47%, list=24%, signal=61%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	0.3425955	1.3961599	0.008196721	0.054094963	0.485	2237	tags=21%, list=12%, signal=24%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		166	0.3336274	1.3917401	0.022680413	0.05359373	0.499	2764	tags=24%, list=15%, signal=28%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		156	0.32723293	1.3576306	0.012219959	0.068287395	0.61	3290	tags=26%, list=18%, signal=31%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	0.43341658	1.3220545	0.1017964	0.08624807	0.723	2853	tags=28%, list=16%, signal=33%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		69	0.34353098	1.2689959	0.1	0.12922686	0.873	2787	tags=23%, list=15%, signal=27%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		110	0.31483713	1.2567438	0.0703125	0.1369146	0.901	4396	tags=35%, list=24%, signal=47%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		160	0.27961326	1.1679372	0.12765957	0.25207013	0.988	2675	tags=22%, list=15%, signal=25%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		122	0.28687146	1.1645265	0.1602434	0.24761708	0.991	3924	tags=34%, list=22%, signal=43%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.27430376	1.1465142	0.15090543	0.26938465	0.996	3638	tags=30%, list=20%, signal=37%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		177	0.27081233	1.1397943	0.16798419	0.27145907	0.998	3490	tags=28%, list=19%, signal=34%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		169	0.2662472	1.1288102	0.17408124	0.28234488	0.999	2182	tags=16%, list=12%, signal=18%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.27292725	1.0517217	0.35613683	0.44131204	1.0	4082	tags=29%, list=23%, signal=37%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		150	0.24529481	1.0188557	0.38235295	0.5129254	1.0	3141	tags=19%, list=17%, signal=22%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		153	0.23909546	0.9929389	0.46257198	0.56692064	1.0	2660	tags=17%, list=15%, signal=20%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.25953192	0.9859795	0.46470588	0.5690759	1.0	2580	tags=18%, list=14%, signal=21%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	0.22640248	0.92698693	0.6502058	0.7205619	1.0	3664	tags=23%, list=20%, signal=29%	
