NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.5331309	-1.5450487	0.016551724	0.04490617	0.14	1721	tags=22%, list=9%, signal=24%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		153	-0.39257362	-1.3844525	0.01590909	0.1647631	0.683	4719	tags=47%, list=26%, signal=63%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		171	-0.3438456	-1.2314994	0.09234234	0.45871323	0.997	4603	tags=43%, list=25%, signal=57%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	-0.3461495	-1.218901	0.116745286	0.38268402	0.999	3796	tags=33%, list=21%, signal=41%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	-0.38062817	-1.0597644	0.37465563	0.8557689	1.0	832	tags=19%, list=5%, signal=20%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		91	-0.31007177	-1.0438992	0.3774272	0.77216715	1.0	3662	tags=21%, list=20%, signal=26%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		165	-0.2701127	-0.9586427	0.5696489	0.9603911	1.0	2291	tags=18%, list=13%, signal=21%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	-0.2704747	-0.9082041	0.66423357	0.9906741	1.0	5674	tags=29%, list=31%, signal=42%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.32279643	-0.8864899	0.6661932	0.9408241	1.0	4112	tags=34%, list=23%, signal=44%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		91	-0.26277798	-0.8801505	0.70787877	0.8624037	1.0	3023	tags=16%, list=17%, signal=20%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		122	-0.22631134	-0.7925621	0.8847926	0.9489809	1.0	4039	tags=24%, list=22%, signal=30%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.27186832	-0.77377677	0.8262654	0.8962673	1.0	2307	tags=19%, list=13%, signal=22%	
