NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		133	0.70500207	2.968622	0.0	0.0	0.0	1917	tags=41%, list=11%, signal=45%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.62369585	2.6963727	0.0	0.0	0.0	4238	tags=63%, list=23%, signal=82%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.6957695	2.5785909	0.0	0.0	0.0	2536	tags=50%, list=14%, signal=58%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		155	0.58372694	2.4895415	0.0	0.0	0.0	2727	tags=41%, list=15%, signal=48%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.5558572	2.4180598	0.0	0.0	0.0	4783	tags=72%, list=26%, signal=96%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.5610603	2.3931541	0.0	0.0	0.0	3096	tags=48%, list=17%, signal=58%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	0.5238352	2.1822183	0.0	0.0	0.0	1633	tags=30%, list=9%, signal=33%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	0.49937588	2.1714644	0.0	0.0	0.0	4026	tags=50%, list=22%, signal=64%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		140	0.5097622	2.1638503	0.0	0.0	0.0	3208	tags=39%, list=18%, signal=47%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.4972797	2.1516976	0.0	0.0	0.0	2194	tags=32%, list=12%, signal=36%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		145	0.49283215	2.1078308	0.0	0.0	0.0	2720	tags=34%, list=15%, signal=40%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.56220275	2.07115	0.0	0.0	0.0	2414	tags=43%, list=13%, signal=50%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	0.57684433	2.0493968	0.0	0.0	0.0	2906	tags=42%, list=16%, signal=50%	
