NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.5349444	-1.5593464	0.0057636886	0.039656468	0.126	2526	tags=30%, list=14%, signal=34%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		170	-0.41037437	-1.5108045	0.0011918951	0.039992098	0.228	4629	tags=49%, list=25%, signal=66%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	-0.42021197	-1.4256159	0.017105263	0.069517754	0.495	4216	tags=29%, list=23%, signal=38%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		152	-0.38053215	-1.3903441	0.01459854	0.07418326	0.628	3966	tags=43%, list=22%, signal=55%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.45487404	-1.271077	0.14432989	0.19145335	0.96	3190	tags=41%, list=17%, signal=50%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		132	-0.3336759	-1.2021849	0.14093137	0.28566727	0.997	4595	tags=42%, list=25%, signal=55%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.36237878	-1.0860498	0.31857142	0.5213432	1.0	1616	tags=22%, list=9%, signal=24%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		163	-0.2549838	-0.9460789	0.58926344	0.86941355	1.0	3537	tags=28%, list=19%, signal=35%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		121	-0.26556793	-0.94106627	0.5745223	0.787189	1.0	4394	tags=32%, list=24%, signal=42%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	-0.3119768	-0.8955975	0.64806867	0.82395613	1.0	3179	tags=26%, list=17%, signal=31%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		96	-0.23592524	-0.8210841	0.8101604	0.90808576	1.0	4726	tags=25%, list=26%, signal=34%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.25851932	-0.8045142	0.8067227	0.8611926	1.0	2503	tags=14%, list=14%, signal=16%	
