NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		133	0.6849543	2.9014382	0.0	0.0	0.0	2081	tags=42%, list=11%, signal=47%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.6996083	2.5646036	0.0	0.0	0.0	1715	tags=43%, list=9%, signal=48%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		154	0.5876007	2.469909	0.0	0.0	0.0	2152	tags=36%, list=12%, signal=40%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.55250937	2.4000223	0.0	0.0	0.0	4319	tags=67%, list=24%, signal=87%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.6041581	2.2013192	0.0	4.75E-4	0.001	2032	tags=47%, list=11%, signal=52%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	0.50615245	2.113575	0.0	3.9583337E-4	0.001	1680	tags=30%, list=9%, signal=32%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.47646645	2.0380833	0.0	3.3928573E-4	0.001	2949	tags=36%, list=16%, signal=43%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		146	0.47567186	1.9795663	0.0	2.9687502E-4	0.001	1857	tags=25%, list=10%, signal=28%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		68	0.5350814	1.9702119	0.0	2.6388888E-4	0.001	1522	tags=31%, list=8%, signal=34%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.44659773	1.9031936	0.0	2.375E-4	0.001	2743	tags=36%, list=15%, signal=43%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		141	0.43881658	1.8351758	0.0	0.0014003246	0.003	1917	tags=22%, list=10%, signal=24%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		166	0.41814646	1.7840103	0.0	0.0030077053	0.007	2047	tags=30%, list=11%, signal=33%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	0.44434837	1.7072151	0.0	0.0053381403	0.017	4184	tags=57%, list=23%, signal=74%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		133	0.4124506	1.7046105	0.0	0.005203598	0.018	4128	tags=46%, list=23%, signal=59%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	0.50495964	1.6974922	0.015974442	0.005342247	0.02	2470	tags=38%, list=14%, signal=44%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		172	0.39205822	1.6666659	0.0	0.006229535	0.025	3450	tags=41%, list=19%, signal=50%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.3852832	1.6645277	0.0	0.006086622	0.026	4066	tags=37%, list=22%, signal=47%	
