NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		132	-0.4558912	-1.6348689	0.0	0.029301351	0.061	4463	tags=45%, list=24%, signal=59%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.5249411	-1.5406177	0.02549575	0.050071653	0.194	2479	tags=27%, list=14%, signal=31%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	-0.42275372	-1.4491366	0.019257221	0.088943146	0.419	2132	tags=17%, list=12%, signal=19%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		91	-0.41005403	-1.400785	0.02688172	0.11266565	0.598	1195	tags=13%, list=7%, signal=14%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		171	-0.36807942	-1.371491	0.016229713	0.12119507	0.715	5241	tags=45%, list=29%, signal=62%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	-0.47998273	-1.3513479	0.08761329	0.12307972	0.789	1815	tags=23%, list=10%, signal=25%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		165	-0.36066505	-1.3252566	0.0436457	0.1355835	0.864	3184	tags=26%, list=17%, signal=31%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	-0.37336242	-1.2615389	0.088275865	0.20430897	0.965	1521	tags=14%, list=8%, signal=15%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		146	-0.33893025	-1.2294246	0.105329946	0.23266289	0.989	2353	tags=15%, list=13%, signal=17%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	-0.36082926	-1.1097922	0.27890173	0.4721399	1.0	3729	tags=25%, list=20%, signal=31%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		156	-0.30266324	-1.107653	0.24133505	0.43487	1.0	5079	tags=39%, list=28%, signal=54%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.39072505	-1.1004211	0.33333334	0.41502848	1.0	4177	tags=52%, list=23%, signal=67%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.37234998	-1.094249	0.3213213	0.39705846	1.0	4249	tags=35%, list=23%, signal=46%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		154	-0.2865862	-1.0510812	0.35813367	0.46619865	1.0	794	tags=8%, list=4%, signal=9%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		91	-0.30415386	-1.0326533	0.40264902	0.4778952	1.0	4774	tags=27%, list=26%, signal=37%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		123	-0.24662845	-0.8761224	0.74834436	0.81679374	1.0	4274	tags=31%, list=23%, signal=40%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		111	-0.24673204	-0.8691871	0.7251613	0.78379965	1.0	4715	tags=34%, list=26%, signal=46%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		157	-0.22072837	-0.8021358	0.89029	0.86666924	1.0	3553	tags=18%, list=19%, signal=23%	
