NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.6482211	2.61421	0.0	0.0	0.0	2139	tags=32%, list=12%, signal=36%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	0.5807075	2.4711423	0.0	0.0	0.0	2772	tags=44%, list=15%, signal=51%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	0.57482123	2.4405506	0.0	0.0	0.0	2694	tags=42%, list=15%, signal=49%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.6461587	2.3232222	0.0	0.0	0.0	2221	tags=32%, list=12%, signal=36%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.4982888	2.1220555	0.0	0.0	0.0	3944	tags=48%, list=21%, signal=61%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		142	0.4930335	2.0511928	0.0	0.0	0.0	3042	tags=33%, list=17%, signal=39%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		157	0.48199576	2.0328932	0.0	0.0	0.0	2139	tags=27%, list=12%, signal=31%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	0.49271175	1.9949875	0.0	0.0	0.0	1952	tags=24%, list=11%, signal=26%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	0.513575	1.7801788	0.0	0.0020473532	0.008	3259	tags=42%, list=18%, signal=51%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.4198545	1.7649351	0.0	0.0024443273	0.01	2197	tags=26%, list=12%, signal=29%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.39882967	1.7001014	0.0	0.0042099464	0.018	3982	tags=45%, list=22%, signal=57%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.468	1.6901971	0.0	0.004230912	0.019	1794	tags=28%, list=10%, signal=31%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.38523304	1.6091605	0.0	0.0062277582	0.03	2809	tags=26%, list=15%, signal=31%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		147	0.38586026	1.6032816	0.0	0.0068872264	0.035	3086	tags=29%, list=17%, signal=35%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	0.38921317	1.5917875	0.0	0.006428078	0.035	3443	tags=36%, list=19%, signal=44%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		70	0.4322002	1.5907546	0.0033112583	0.006026323	0.035	735	tags=17%, list=4%, signal=18%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		124	0.37920538	1.539371	0.0044247787	0.011884263	0.073	3002	tags=29%, list=16%, signal=34%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		171	0.33825195	1.4170208	0.0	0.0389575	0.234	2362	tags=21%, list=13%, signal=24%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.3404874	1.2961806	0.054054055	0.09471653	0.5	1722	tags=20%, list=9%, signal=22%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	0.38397825	1.2871709	0.0952381	0.0982984	0.532	2779	tags=31%, list=15%, signal=36%	
