NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.7486685	2.8705215	0.0	0.0	0.0	1785	tags=36%, list=10%, signal=39%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.66460586	2.6291165	0.0	0.0	0.0	3983	tags=64%, list=22%, signal=81%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.73583794	2.5038984	0.0	0.0	0.0	2870	tags=48%, list=16%, signal=57%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.59798944	2.4047782	0.0	0.0	0.0	3858	tags=62%, list=21%, signal=78%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.5903012	2.3465378	0.0	0.0	0.0	3438	tags=51%, list=19%, signal=62%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		156	0.5999315	2.3296635	0.0	0.0	0.0	2960	tags=42%, list=16%, signal=49%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		141	0.60344213	2.3218634	0.0	0.0	0.0	2363	tags=31%, list=13%, signal=36%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	0.5761786	2.189141	0.0	0.0	0.0	2594	tags=36%, list=14%, signal=41%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		146	0.56153303	2.157247	0.0	0.0	0.0	2896	tags=32%, list=16%, signal=38%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.6313075	2.1260502	0.0	0.0	0.0	2653	tags=45%, list=14%, signal=52%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		69	0.60515267	2.0877013	0.0	0.0	0.0	1785	tags=33%, list=10%, signal=37%	
