NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.6739127	2.9266832	0.0	0.0	0.0	3394	tags=62%, list=19%, signal=76%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		133	0.66117406	2.8058069	0.0	0.0	0.0	1868	tags=32%, list=10%, signal=36%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.61013454	2.627975	0.0	0.0	0.0	3186	tags=58%, list=17%, signal=70%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.65584743	2.4540484	0.0	0.0	0.0	1885	tags=33%, list=10%, signal=37%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.5398974	2.3766692	0.0	0.0	0.0	3808	tags=57%, list=21%, signal=71%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	0.5427334	2.3732257	0.0	0.0	0.0	3483	tags=52%, list=19%, signal=63%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	0.66207165	2.3611887	0.0	0.0	0.0	3011	tags=52%, list=16%, signal=62%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	0.50184536	2.191708	0.0	0.0	0.0	3095	tags=42%, list=17%, signal=50%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.5522318	2.0825565	0.0	0.0	0.0	2153	tags=35%, list=12%, signal=40%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	0.58105874	2.041123	0.0	0.0	0.0	3359	tags=55%, list=18%, signal=67%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	0.48381376	2.030403	0.0	0.0	0.0	1516	tags=24%, list=8%, signal=26%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		155	0.47543013	2.0164833	0.0	0.0	0.0	1075	tags=18%, list=6%, signal=19%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		69	0.49770525	1.8884511	0.0	6.7765574E-4	0.003	1285	tags=22%, list=7%, signal=23%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.43191984	1.8845496	0.0	6.292517E-4	0.003	2931	tags=32%, list=16%, signal=37%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		141	0.4238608	1.8016979	0.0	0.0016406181	0.007	3491	tags=30%, list=19%, signal=37%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		124	0.4248624	1.7665321	0.0	0.0017159639	0.008	3424	tags=40%, list=19%, signal=48%	
