NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.60759646	2.6924815	0.0	0.0	0.0	4034	tags=56%, list=22%, signal=72%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	0.6121854	2.467429	0.0	0.0	0.0	4521	tags=64%, list=25%, signal=85%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.60686314	2.4617767	0.0	0.0	0.0	1933	tags=40%, list=11%, signal=45%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		156	0.54425573	2.3740745	0.0	0.0	0.0	3586	tags=42%, list=20%, signal=52%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.5325741	2.3662245	0.0	0.0	0.0	5568	tags=62%, list=31%, signal=89%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.5389375	2.3566117	0.0	0.0	0.0	3828	tags=48%, list=21%, signal=60%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.54250264	2.3470886	0.0	0.0	0.0	3114	tags=45%, list=17%, signal=54%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	0.6288253	2.2575953	0.0	0.0	0.0	4294	tags=58%, list=24%, signal=76%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		165	0.50451404	2.2147474	0.0	0.0	0.0	3779	tags=42%, list=21%, signal=52%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		133	0.5067223	2.1770482	0.0	0.0	0.0	5022	tags=56%, list=28%, signal=77%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.4814644	2.1320622	0.0	0.0	0.0	3820	tags=43%, list=21%, signal=54%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.556015	2.1042426	0.0	0.0	0.0	2670	tags=43%, list=15%, signal=51%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		170	0.46875465	2.080008	0.0	0.0	0.0	4180	tags=46%, list=23%, signal=59%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		146	0.47205096	2.0336974	0.0	0.0	0.0	3027	tags=35%, list=17%, signal=42%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.545144	2.0156493	0.0	0.0	0.0	4216	tags=57%, list=23%, signal=74%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.49348947	2.0109096	0.0	0.0	0.0	4543	tags=46%, list=25%, signal=61%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.4357257	1.9479535	0.0	0.0	0.0	2801	tags=32%, list=15%, signal=38%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	0.44330907	1.9355072	0.0	0.0	0.0	4048	tags=41%, list=22%, signal=52%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		124	0.44421905	1.8906776	0.0	1.7293236E-4	0.001	4029	tags=44%, list=22%, signal=56%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	0.56278914	1.8358527	0.0	6.763095E-4	0.005	2450	tags=34%, list=14%, signal=40%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.4116135	1.8299245	0.0	6.4410426E-4	0.005	5060	tags=53%, list=28%, signal=73%	
