NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.6820127	2.4793248	0.0	0.0	0.0	2240	tags=52%, list=12%, signal=59%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		154	0.55573446	2.3402646	0.0	0.0	0.0	2538	tags=36%, list=14%, signal=41%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		133	0.4961326	2.0475457	0.0	4.126984E-4	0.001	2499	tags=35%, list=14%, signal=41%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	0.56260484	1.8994601	0.0	8.5119053E-4	0.003	3835	tags=50%, list=21%, signal=63%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.39838728	1.694338	0.0	0.008883622	0.036	2576	tags=30%, list=14%, signal=35%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	0.43529794	1.4118078	0.06437768	0.09040444	0.366	1827	tags=31%, list=10%, signal=35%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	0.36097458	1.40396	0.015086207	0.083759174	0.387	6169	tags=51%, list=34%, signal=76%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		177	0.32658854	1.3937901	0.002173913	0.08061109	0.418	2485	tags=27%, list=14%, signal=31%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		166	0.32507738	1.3863283	0.0068965517	0.07491287	0.432	3873	tags=34%, list=21%, signal=43%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	0.41514492	1.3506788	0.09034908	0.09206581	0.55	2413	tags=24%, list=13%, signal=28%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		145	0.32156575	1.3462689	0.022172948	0.086953804	0.565	2076	tags=21%, list=11%, signal=23%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		68	0.35032722	1.301358	0.086666666	0.11465066	0.695	3771	tags=37%, list=21%, signal=46%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		157	0.30473095	1.2803844	0.045351475	0.12470545	0.752	4185	tags=37%, list=23%, signal=48%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		95	0.3244022	1.2731613	0.058951966	0.12435926	0.782	3911	tags=32%, list=22%, signal=40%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		147	0.3033749	1.2704561	0.05381166	0.11875137	0.785	3911	tags=34%, list=22%, signal=43%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.34622025	1.243201	0.12527964	0.13968098	0.852	3962	tags=33%, list=22%, signal=43%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		164	0.29149124	1.2347271	0.058295965	0.1393795	0.86	2614	tags=23%, list=14%, signal=26%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		154	0.28859147	1.2145762	0.08962264	0.15398483	0.904	3592	tags=28%, list=20%, signal=35%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		121	0.28929672	1.1896486	0.10297483	0.17737518	0.945	1619	tags=17%, list=9%, signal=18%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.30281964	1.1749649	0.16371681	0.1875919	0.96	3135	tags=28%, list=17%, signal=33%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		160	0.2671651	1.1140434	0.19724771	0.27523157	0.992	2473	tags=23%, list=14%, signal=27%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	0.26801118	1.1080911	0.21967964	0.27125672	0.994	3166	tags=28%, list=17%, signal=34%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	0.2472107	1.0107586	0.44591612	0.4742359	1.0	2734	tags=22%, list=15%, signal=25%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.24984603	0.9801588	0.4814815	0.53861725	1.0	3262	tags=27%, list=18%, signal=33%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	0.27973533	0.87524676	0.642562	0.79725814	1.0	3457	tags=26%, list=19%, signal=32%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		171	0.18082547	0.76549006	0.99086756	0.9475353	1.0	3506	tags=19%, list=19%, signal=23%	
