NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	-0.5314792	-2.0235362	0.0	0.0010303031	0.001	3682	tags=41%, list=20%, signal=50%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.47618213	-1.821987	0.0	0.0015464015	0.003	6010	tags=53%, list=33%, signal=78%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	-0.5413197	-1.6777071	0.0047318614	0.0088177575	0.025	3808	tags=43%, list=21%, signal=54%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.44151217	-1.6497624	0.0	0.010781606	0.043	5184	tags=49%, list=29%, signal=68%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.5050533	-1.6269181	0.0015174507	0.01130551	0.057	4915	tags=42%, list=27%, signal=57%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		139	-0.40858096	-1.510789	0.0027173914	0.042524368	0.225	5618	tags=42%, list=31%, signal=61%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	-0.35852873	-1.3377845	0.035278156	0.22769359	0.827	5155	tags=37%, list=28%, signal=52%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		69	-0.37166348	-1.2580043	0.11953353	0.3948362	0.964	6795	tags=55%, list=37%, signal=88%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		172	-0.30973765	-1.1843139	0.13862719	0.60410464	0.999	6413	tags=44%, list=35%, signal=67%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		156	-0.30784675	-1.1797303	0.1511471	0.5611062	0.999	5754	tags=33%, list=32%, signal=47%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		172	-0.3049704	-1.1645696	0.15135135	0.56534505	1.0	3026	tags=20%, list=17%, signal=24%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	-0.35349178	-1.1620252	0.25072888	0.5265804	1.0	3513	tags=28%, list=19%, signal=35%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	-0.29408783	-1.1303594	0.20433018	0.59716797	1.0	5547	tags=38%, list=31%, signal=55%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		170	-0.29284626	-1.1247257	0.19553073	0.57242256	1.0	4965	tags=29%, list=27%, signal=40%	
