NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		95	0.47524327	1.8817433	0.0	0.001	0.001	3112	tags=34%, list=17%, signal=40%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		91	0.41377154	1.6118013	0.003021148	0.027288992	0.048	4215	tags=45%, list=23%, signal=58%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	0.43585742	1.4549587	0.023684211	0.07986768	0.198	2863	tags=27%, list=16%, signal=32%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		146	0.32519716	1.3583261	0.014814815	0.12919609	0.375	2641	tags=22%, list=15%, signal=25%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		133	0.32156387	1.3327267	0.025641026	0.1270415	0.444	3652	tags=29%, list=20%, signal=36%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.29875392	1.2823788	0.03984064	0.16010596	0.594	5258	tags=32%, list=29%, signal=45%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		155	0.25828677	1.0809219	0.2310757	0.6114235	0.987	2578	tags=19%, list=14%, signal=22%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		124	0.26543963	1.0749278	0.28196722	0.5574516	0.99	1592	tags=15%, list=9%, signal=16%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	0.30387172	1.046937	0.3644315	0.58776087	0.996	4701	tags=38%, list=26%, signal=50%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	0.25649482	0.99952906	0.44966444	0.7191473	0.999	3146	tags=23%, list=17%, signal=28%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		165	0.22902311	0.98301214	0.48288974	0.71577483	1.0	2863	tags=16%, list=16%, signal=19%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		160	0.2111058	0.882865	0.8064516	1.0	1.0	3820	tags=22%, list=21%, signal=27%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	0.19267023	0.8053535	0.9456522	1.0	1.0	1779	tags=10%, list=10%, signal=11%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	0.20501024	0.8029397	0.91131496	1.0	1.0	3088	tags=24%, list=17%, signal=28%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		156	0.18625757	0.7933911	0.95703125	0.98478884	1.0	2678	tags=13%, list=15%, signal=15%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	0.16661462	0.7191438	0.99570817	0.9745447	1.0	3193	tags=13%, list=18%, signal=16%	
