NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.67654246	-2.7868366	0.0	0.0	0.0	3726	tags=66%, list=20%, signal=82%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	-0.64728737	-2.6514993	0.0	0.0	0.0	3465	tags=58%, list=19%, signal=70%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	-0.6619312	-2.626902	0.0	0.0	0.0	3295	tags=49%, list=18%, signal=59%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	-0.6274987	-2.5508049	0.0	0.0	0.0	3862	tags=66%, list=21%, signal=83%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		146	-0.6006811	-2.397046	0.0	0.0	0.0	1996	tags=29%, list=11%, signal=32%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		156	-0.59042436	-2.3734198	0.0	0.0	0.0	2491	tags=36%, list=14%, signal=41%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	-0.6200364	-2.365447	0.0	0.0	0.0	3630	tags=61%, list=20%, signal=75%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	-0.64457077	-2.265568	0.0	0.0	0.0	2489	tags=52%, list=14%, signal=60%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	-0.6323738	-2.197804	0.0	0.0	0.0	3508	tags=48%, list=19%, signal=60%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		171	-0.5316244	-2.182407	0.0	0.0	0.0	3892	tags=40%, list=21%, signal=51%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		69	-0.61719483	-2.179495	0.0	0.0	0.0	2979	tags=41%, list=16%, signal=48%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.6335842	-2.1274781	0.0	0.0	0.0	4295	tags=58%, list=23%, signal=76%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	-0.5629722	-2.1131792	0.0	0.0	0.0	4373	tags=55%, list=24%, signal=72%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		140	-0.52251863	-2.0839007	0.0	0.0	0.0	2055	tags=29%, list=11%, signal=32%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	-0.4954505	-2.0374732	0.0	0.0	0.0	3883	tags=43%, list=21%, signal=54%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.65685767	-1.973673	0.0	0.0	0.0	2501	tags=31%, list=14%, signal=36%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		165	-0.46462968	-1.8980923	0.0	3.145036E-4	0.003	3931	tags=40%, list=21%, signal=50%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	-0.5770467	-1.8902832	0.0	2.9703116E-4	0.003	2080	tags=40%, list=11%, signal=46%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	-0.44733357	-1.8287677	0.0	6.657753E-4	0.007	3828	tags=37%, list=21%, signal=46%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		156	-0.45228705	-1.8180736	0.0	6.3248654E-4	0.007	3451	tags=31%, list=19%, signal=38%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	-0.46255752	-1.8167629	0.0	6.0236815E-4	0.007	3785	tags=37%, list=21%, signal=46%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	-0.54122853	-1.8099544	0.0	5.7498773E-4	0.007	3437	tags=44%, list=19%, signal=54%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		109	-0.4601706	-1.799719	0.0	5.499883E-4	0.007	3046	tags=32%, list=17%, signal=38%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	-0.48157245	-1.7946953	0.0	5.270721E-4	0.007	3901	tags=36%, list=21%, signal=45%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		171	-0.4373882	-1.7908311	0.0	5.0598924E-4	0.007	3846	tags=43%, list=21%, signal=54%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		124	-0.4564597	-1.789571	0.0	4.8652812E-4	0.007	2842	tags=36%, list=16%, signal=43%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		154	-0.4344026	-1.7635107	0.0	6.151644E-4	0.009	4453	tags=40%, list=24%, signal=53%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		171	-0.42170715	-1.7526743	0.0	6.678696E-4	0.01	5089	tags=29%, list=28%, signal=40%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	-0.4597066	-1.7385707	0.0021141649	9.1268827E-4	0.014	3451	tags=42%, list=19%, signal=51%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		166	-0.4174479	-1.7019676	0.0	0.0012004665	0.019	3288	tags=27%, list=18%, signal=32%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		177	-0.3595514	-1.4995723	0.003960396	0.012833656	0.189	2681	tags=22%, list=15%, signal=26%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		133	-0.36701325	-1.4571748	0.008080808	0.018350005	0.272	3674	tags=38%, list=20%, signal=48%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		161	-0.35688567	-1.4417975	0.004282655	0.021052293	0.31	3394	tags=25%, list=19%, signal=31%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.34992465	-1.3801847	0.008695652	0.037460063	0.499	4057	tags=33%, list=22%, signal=42%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	-0.3441138	-1.3635511	0.022813689	0.041776564	0.543	4177	tags=23%, list=23%, signal=30%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.42598042	-1.3438178	0.091836736	0.04870388	0.614	2638	tags=19%, list=14%, signal=22%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		146	-0.30972522	-1.235455	0.061833687	0.11621553	0.905	2381	tags=23%, list=13%, signal=27%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	-0.3856778	-1.1840746	0.21714285	0.16989313	0.977	2923	tags=32%, list=16%, signal=38%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.39294878	-1.1792319	0.22580644	0.17065562	0.98	5468	tags=43%, list=30%, signal=62%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		157	-0.29006565	-1.172833	0.1278826	0.1745406	0.984	5303	tags=41%, list=29%, signal=57%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		38	-0.36394477	-1.1515843	0.22267206	0.19616075	0.993	2008	tags=21%, list=11%, signal=24%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		90	-0.27895135	-1.040567	0.35510203	0.3924819	1.0	1290	tags=13%, list=7%, signal=14%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		124	-0.25532782	-0.9925123	0.46216768	0.4982172	1.0	3646	tags=20%, list=20%, signal=25%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		153	-0.24069178	-0.9699188	0.55467194	0.54529184	1.0	2574	tags=14%, list=14%, signal=17%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	-0.23937738	-0.9678052	0.5142276	0.53801197	1.0	2677	tags=18%, list=15%, signal=21%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.26149252	-0.83075774	0.7357724	0.8608045	1.0	2326	tags=14%, list=13%, signal=16%	
