NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	0.6621843	2.2197883	0.0	0.0	0.0	3382	tags=52%, list=19%, signal=64%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		155	0.5042352	2.0545979	0.0	0.0	0.0	3068	tags=35%, list=17%, signal=42%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.5889154	2.0541122	0.0	0.0	0.0	2154	tags=33%, list=12%, signal=38%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		154	0.47209454	1.9145967	0.0	3.804348E-4	0.001	4181	tags=37%, list=23%, signal=48%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		133	0.46695876	1.8518211	0.0	0.0011617888	0.004	3052	tags=32%, list=17%, signal=39%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	0.47883433	1.7851782	0.0	0.003515793	0.014	5651	tags=57%, list=31%, signal=83%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.4292833	1.750631	0.0	0.003553309	0.016	3369	tags=38%, list=19%, signal=47%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		166	0.427248	1.7415103	0.0	0.0035296262	0.018	2505	tags=27%, list=14%, signal=31%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	0.5194314	1.630419	0.014403292	0.009034702	0.05	1817	tags=26%, list=10%, signal=29%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		148	0.40200704	1.6180514	0.0	0.009527172	0.058	3716	tags=39%, list=21%, signal=49%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		95	0.42430362	1.6117362	0.0	0.009266552	0.062	4412	tags=41%, list=24%, signal=54%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		132	0.3975261	1.5678346	0.0	0.014294459	0.1	2361	tags=20%, list=13%, signal=22%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.450317	1.5589263	0.00896861	0.0138126	0.105	2567	tags=33%, list=14%, signal=39%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		146	0.38041118	1.5538247	0.0	0.013829995	0.113	3094	tags=26%, list=17%, signal=31%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		172	0.3614308	1.4789213	0.005	0.025969926	0.213	3015	tags=26%, list=17%, signal=30%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		176	0.35083768	1.4459885	0.009592326	0.03251207	0.276	3067	tags=28%, list=17%, signal=33%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		159	0.32816124	1.3461134	0.028436018	0.076521665	0.553	2920	tags=28%, list=16%, signal=33%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		165	0.32262552	1.329241	0.031578947	0.0832767	0.604	2604	tags=21%, list=14%, signal=25%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	0.43508533	1.3231022	0.1006424	0.08290932	0.621	2277	tags=23%, list=13%, signal=26%	
