NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	0.5506137	2.38815	0.0	0.0	0.0	3356	tags=47%, list=19%, signal=57%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.49028704	2.1614368	0.0	0.0	0.0	5576	tags=58%, list=31%, signal=82%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	0.4737747	2.0387628	0.0	0.0	0.0	2848	tags=37%, list=16%, signal=43%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		171	0.4369935	1.8854343	0.0	0.0013213383	0.003	5468	tags=63%, list=30%, signal=90%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	0.44324693	1.8535818	0.0	0.0013163299	0.004	3368	tags=30%, list=19%, signal=37%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.41290033	1.7835537	0.0	0.0025497975	0.01	6776	tags=51%, list=37%, signal=81%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		152	0.41806868	1.7731988	0.0	0.0030256426	0.014	3764	tags=43%, list=21%, signal=54%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.3759586	1.6228975	0.0	0.014081258	0.074	4452	tags=32%, list=25%, signal=42%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		170	0.37264365	1.593293	0.0021276595	0.016836299	0.097	4496	tags=31%, list=25%, signal=41%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	0.3826012	1.3735055	0.07058824	0.11301258	0.53	5511	tags=52%, list=30%, signal=75%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		156	0.31710005	1.3650455	0.012875536	0.11135628	0.56	5299	tags=50%, list=29%, signal=70%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		139	0.32062146	1.3597244	0.021459227	0.107022844	0.574	3191	tags=24%, list=18%, signal=29%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	0.34222874	1.3576204	0.05399568	0.10016941	0.58	5139	tags=42%, list=28%, signal=58%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	0.30794126	1.2893649	0.059917357	0.16096133	0.78	4998	tags=41%, list=28%, signal=57%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		133	0.3041164	1.2644588	0.060402684	0.18299462	0.831	6113	tags=38%, list=34%, signal=56%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		154	0.28020707	1.2010026	0.08714597	0.28568116	0.95	4516	tags=31%, list=25%, signal=41%	
