NAME	NES	FDR q-val
KEGG_RIBOSOME	-2.6836565	0
KEGG_DNA_REPLICATION	-2.5531096	0
KEGG_SPLICEOSOME	-2.3637164	0
KEGG_CELL_CYCLE	-2.3440979	0
KEGG_MISMATCH_REPAIR	-2.2326841	0
KEGG_HOMOLOGOUS_RECOMBINATION	-2.1911547	0
KEGG_PRIMARY_IMMUNODEFICIENCY	-2.1516962	0
KEGG_HEMATOPOIETIC_CELL_LINEAGE	-2.0777714	0
KEGG_RNA_DEGRADATION	-2.063875	0
KEGG_NUCLEOTIDE_EXCISION_REPAIR	-1.9925811	6.97E-05
KEGG_OOCYTE_MEIOSIS	-1.9933009	7.67E-05
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	-1.9584758	4.10E-04
KEGG_ONE_CARBON_POOL_BY_FOLATE	-1.8457315	0.002119188
KEGG_BASE_EXCISION_REPAIR	-1.8099501	0.003655405
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	-1.7069046	0.011205637
KEGG_PYRIMIDINE_METABOLISM	-1.6601267	0.016394284
KEGG_RNA_POLYMERASE	-1.6510942	0.016896792
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	-1.5942051	0.028415062
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	-1.5671602	0.035638478
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-1.5305617	0.047922
