NAME	NES	FDR q-val
KEGG_DNA_REPLICATION	-2.4725244	0
KEGG_RIBOSOME	-2.3362374	0
KEGG_CELL_CYCLE	-2.2422743	0
KEGG_HOMOLOGOUS_RECOMBINATION	-2.1654534	0
KEGG_MISMATCH_REPAIR	-2.1010199	2.60E-04
KEGG_OOCYTE_MEIOSIS	-1.9063673	0.002804727
KEGG_BASE_EXCISION_REPAIR	-1.851631	0.005114853
KEGG_RNA_DEGRADATION	-1.8314865	0.00545296
KEGG_NUCLEOTIDE_EXCISION_REPAIR	-1.83378	0.005970147
KEGG_SPLICEOSOME	-1.8090601	0.00616225
KEGG_PRIMARY_IMMUNODEFICIENCY	-1.7046679	0.015013221
KEGG_ONE_CARBON_POOL_BY_FOLATE	-1.6607823	0.022349741
KEGG_HEMATOPOIETIC_CELL_LINEAGE	-1.6496247	0.023027994
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	-1.620686	0.027508434
KEGG_RNA_POLYMERASE	-1.6039684	0.029344311
