NAME	NES	FDR q-val
KEGG_OXIDATIVE_PHOSPHORYLATION	2.428	0
KEGG_PEROXISOME	2.2760289	0
KEGG_RETINOL_METABOLISM	2.1391816	0
KEGG_SPHINGOLIPID_METABOLISM	2.1011345	0
KEGG_FATTY_ACID_METABOLISM	2.0129502	6.45E-04
KEGG_PPAR_SIGNALING_PATHWAY	2.0421557	7.75E-04
KEGG_LYSOSOME	1.8847966	0.006256877
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1.8390025	0.011075375
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1.8141782	0.011705549
KEGG_GALACTOSE_METABOLISM	1.8209121	0.012105844
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1.8065209	0.012541449
KEGG_PARKINSONS_DISEASE	1.706146	0.019707682
KEGG_ENDOCYTOSIS	1.7486138	0.019805042
KEGG_ALZHEIMERS_DISEASE	1.7618036	0.019962369
KEGG_PYRUVATE_METABOLISM	1.7536793	0.020133406
KEGG_HUNTINGTONS_DISEASE	1.7219719	0.020312868
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1.7078595	0.020651415
KEGG_PROTEASOME	1.7321546	0.02081712
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1.7244142	0.021263752
KEGG_GNRH_SIGNALING_PATHWAY	1.6903881	0.02202319
KEGG_CITRATE_CYCLE_TCA_CYCLE	1.6639706	0.025813822
KEGG_GLYCEROLIPID_METABOLISM	1.6676503	0.026505573
KEGG_ABC_TRANSPORTERS	1.634013	0.033442713
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1.5919542	0.04640288
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1.5677094	0.051849026
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1.5679742	0.05392299
