NAME	NES	FDR q-val
KEGG_SPHINGOLIPID_METABOLISM	2.0470974	6.83E-04
KEGG_LYSOSOME	2.0785031	7.09E-04
KEGG_RETINOL_METABOLISM	2.0586267	9.10E-04
KEGG_GALACTOSE_METABOLISM	2.1710827	0.001418919
KEGG_PPAR_SIGNALING_PATHWAY	1.8903666	0.00550156
KEGG_PEROXISOME	1.924672	0.005615602
KEGG_FATTY_ACID_METABOLISM	1.8952427	0.005742786
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1.8170594	0.009167538
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1.8264023	0.009323486
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1.8051305	0.009710503
KEGG_STARCH_AND_SUCROSE_METABOLISM	1.7626812	0.0149696
KEGG_ENDOCYTOSIS	1.7155402	0.024795948
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1.6966994	0.02855344
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1.6843623	0.030325916
KEGG_AXON_GUIDANCE	1.6654499	0.03359655
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1.6587894	0.033927735
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1.6516634	0.03437405
KEGG_PROPANOATE_METABOLISM	1.641184	0.036385145
KEGG_TASTE_TRANSDUCTION	1.6178304	0.04332484
KEGG_TIGHT_JUNCTION	1.6055139	0.046307884
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1.5896368	0.05122555
KEGG_GLYCEROLIPID_METABOLISM	1.5800626	0.052819364
