NAME	NES	FDR q-val
KEGG_GALACTOSE_METABOLISM	2.0845895	6.10E-04
KEGG_LYSOSOME	2.0683002	7.73E-04
KEGG_RETINOL_METABOLISM	2.1491787	0.00122
KEGG_PEROXISOME	1.857152	0.013499303
KEGG_SPHINGOLIPID_METABOLISM	1.8269752	0.017229848
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1.7896664	0.023814088
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	1.7726973	0.02569237
KEGG_BETA_ALANINE_METABOLISM	1.7565309	0.029793648
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1.7239057	0.03833218
KEGG_ADHERENS_JUNCTION	1.7057033	0.04175196
KEGG_FATTY_ACID_METABOLISM	1.6893799	0.044024084
KEGG_STARCH_AND_SUCROSE_METABOLISM	1.6800959	0.044068675
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1.6653821	0.044646543
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1.6720346	0.04506557
KEGG_PPAR_SIGNALING_PATHWAY	1.6392928	0.046783343
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1.6515654	0.04684254
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1.6409564	0.048998248
KEGG_TRYPTOPHAN_METABOLISM	1.625332	0.051448807
