NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	173	-0.67071086	-2.922631	0.0	0.0	0.0	3508	tags=68%, list=19%, signal=84%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	-0.61111903	-2.6554396	0.0	0.0	0.0	3463	tags=57%, list=19%, signal=70%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	141	-0.49762008	-2.0832698	0.0	0.0	0.0	3309	tags=37%, list=18%, signal=45%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	173	-0.47715148	-2.0661237	0.0	0.0	0.0	4237	tags=57%, list=23%, signal=74%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	-0.44530225	-1.9483333	0.0	0.0	0.0	5187	tags=42%, list=28%, signal=59%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	180	-0.38271168	-1.6746055	0.0	0.0058521344	0.037	2336	tags=30%, list=13%, signal=34%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	70	-0.41461214	-1.5790082	0.0056179776	0.013300762	0.094	3443	tags=39%, list=19%, signal=47%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	-0.48110104	-1.552452	0.01953125	0.016511079	0.13	3652	tags=40%, list=20%, signal=50%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	90	-0.38343802	-1.5256094	0.0017985612	0.01809879	0.159	2807	tags=26%, list=15%, signal=30%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	-0.42450747	-1.5013331	0.027027028	0.02224428	0.211	5247	tags=46%, list=29%, signal=64%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	29	-0.46902445	-1.4722646	0.031481482	0.0276282	0.273	4631	tags=52%, list=25%, signal=69%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	34	-0.41478673	-1.3402303	0.08461539	0.08721153	0.687	3059	tags=38%, list=17%, signal=46%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	169	-0.2883305	-1.2523255	0.05615942	0.16796196	0.912	3688	tags=33%, list=20%, signal=40%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	145	-0.29358467	-1.2298036	0.083333336	0.18511769	0.939	3439	tags=33%, list=19%, signal=40%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	133	-0.294229	-1.2205023	0.10456274	0.18554968	0.946	2890	tags=24%, list=16%, signal=28%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	-0.35910988	-1.18815	0.20037808	0.21741337	0.976	5189	tags=49%, list=28%, signal=68%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	132	-0.2825793	-1.1698973	0.14079422	0.2344113	0.985	4841	tags=44%, list=27%, signal=59%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	-0.2663384	-1.1492124	0.15429688	0.25551662	0.993	2213	tags=16%, list=12%, signal=19%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	156	-0.267013	-1.146651	0.17184643	0.24553865	0.994	4579	tags=38%, list=25%, signal=51%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	162	-0.26179564	-1.1276658	0.19741698	0.2662861	0.998	4686	tags=39%, list=26%, signal=52%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		107	-0.2749259	-1.1206145	0.20366973	0.26617086	0.999	4043	tags=35%, list=22%, signal=44%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.3412636	-1.0713111	0.33032492	0.34486243	1.0	2751	tags=33%, list=15%, signal=39%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		122	-0.23261526	-0.95847595	0.5736434	0.59385586	1.0	3157	tags=24%, list=17%, signal=29%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	-0.22277054	-0.95165944	0.5607985	0.58748037	1.0	3973	tags=28%, list=22%, signal=35%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.21479172	-0.89014375	0.7305503	0.7186965	1.0	4078	tags=27%, list=22%, signal=34%	
