NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	141	-0.5645606	-2.136319	0.0	0.0	0.0	4565	tags=55%, list=25%, signal=72%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	173	-0.5093313	-1.9700484	0.0	0.0	0.0	5553	tags=63%, list=31%, signal=90%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	-0.50264066	-1.9330648	0.0	3.030303E-4	0.001	5726	tags=62%, list=32%, signal=89%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	145	-0.45709333	-1.7217463	0.0	0.0069668973	0.032	3980	tags=37%, list=22%, signal=47%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	-0.4461261	-1.7014592	0.0	0.007375593	0.043	4561	tags=46%, list=25%, signal=61%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	69	-0.4835496	-1.638348	0.0014430014	0.011867187	0.083	4270	tags=42%, list=24%, signal=55%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	132	-0.4330172	-1.6152375	0.0	0.013829231	0.112	3832	tags=36%, list=21%, signal=45%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	-0.50376034	-1.5978855	0.0106870225	0.014947	0.137	4422	tags=46%, list=24%, signal=61%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	-0.3657624	-1.3924516	0.015306123	0.103805415	0.702	3891	tags=30%, list=21%, signal=37%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	133	-0.36827087	-1.3764652	0.03042328	0.10917246	0.754	2893	tags=20%, list=16%, signal=24%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	168	-0.34807688	-1.3333298	0.045691907	0.14685059	0.88	4085	tags=32%, list=23%, signal=40%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	155	-0.32461134	-1.2352734	0.104477614	0.28995425	0.989	4694	tags=27%, list=26%, signal=36%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	-0.39743844	-1.2274344	0.18681319	0.28257936	0.992	3530	tags=29%, list=19%, signal=35%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	155	-0.3176246	-1.2201722	0.10575636	0.2767109	0.994	2412	tags=15%, list=13%, signal=18%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	-0.40073302	-1.1943747	0.20884146	0.3063478	1.0	2402	tags=14%, list=13%, signal=16%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	121	-0.2924506	-1.0826633	0.3010899	0.57835615	1.0	4198	tags=26%, list=23%, signal=33%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	107	-0.293652	-1.0686283	0.32132965	0.58877194	1.0	2710	tags=15%, list=15%, signal=17%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	134	-0.28018457	-1.0488307	0.367374	0.6162116	1.0	4222	tags=28%, list=23%, signal=37%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	-0.26516858	-1.0058073	0.45207253	0.70875424	1.0	3981	tags=23%, list=22%, signal=29%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	-0.24747458	-0.94473565	0.56865287	0.86056423	1.0	5184	tags=32%, list=29%, signal=45%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		169	-0.24338973	-0.9387732	0.5997375	0.83776754	1.0	5005	tags=27%, list=28%, signal=37%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	-0.256675	-0.9102236	0.63814867	0.88517886	1.0	5263	tags=32%, list=29%, signal=45%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	-0.26407924	-0.87521374	0.66466165	0.943307	1.0	3544	tags=15%, list=20%, signal=19%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		163	-0.22772962	-0.8650826	0.79210526	0.93047374	1.0	4746	tags=31%, list=26%, signal=41%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	-0.21949205	-0.8476968	0.79578394	0.9327678	1.0	4447	tags=29%, list=25%, signal=38%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.2748165	-0.77452517	0.7917981	1.0	1.0	1335	tags=10%, list=7%, signal=11%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		34	-0.2578986	-0.7574707	0.8260188	1.0	1.0	2761	tags=21%, list=15%, signal=24%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		167	-0.19527647	-0.7441546	0.96744794	1.0	1.0	1993	tags=11%, list=11%, signal=12%	
