NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	90	-0.4646648	-1.5567603	0.002406739	0.16546276	0.167	3306	tags=32%, list=18%, signal=39%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	-0.42387986	-1.4986446	0.0033370412	0.16902284	0.321	4329	tags=36%, list=24%, signal=47%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	168	-0.4214007	-1.4961087	0.0044198893	0.11813374	0.335	3823	tags=30%, list=21%, signal=38%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	147	-0.41560116	-1.453323	0.008045977	0.1440496	0.489	4418	tags=34%, list=24%, signal=45%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	-0.4398767	-1.4496716	0.0095808385	0.11951023	0.503	5015	tags=47%, list=28%, signal=64%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	164	-0.4119735	-1.4462715	0.0033783785	0.10257029	0.511	3062	tags=23%, list=17%, signal=28%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	37	-0.48583403	-1.3921907	0.06648936	0.1492227	0.705	1540	tags=27%, list=8%, signal=29%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	108	-0.39975888	-1.3735276	0.03550296	0.15889809	0.771	3196	tags=25%, list=18%, signal=30%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	132	-0.39592767	-1.3683828	0.021101993	0.14849049	0.779	1932	tags=18%, list=11%, signal=20%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	155	-0.36838326	-1.2938428	0.0567297	0.2733274	0.955	5553	tags=39%, list=30%, signal=55%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	169	-0.36068824	-1.2798585	0.05378705	0.2791053	0.972	5412	tags=38%, list=30%, signal=54%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	-0.44344974	-1.2605623	0.15027322	0.30152243	0.985	3216	tags=34%, list=18%, signal=42%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	141	-0.36116922	-1.2577	0.08489526	0.28378734	0.987	5209	tags=39%, list=29%, signal=54%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	173	-0.34769765	-1.2344276	0.0997807	0.31822044	0.997	3337	tags=21%, list=18%, signal=26%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	147	-0.35162	-1.2269684	0.1199095	0.31489387	0.998	1958	tags=17%, list=11%, signal=19%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	155	-0.3454525	-1.2158948	0.11333334	0.3235889	0.998	3388	tags=18%, list=19%, signal=22%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	29	-0.426517	-1.1931787	0.21300139	0.3578445	1.0	3571	tags=31%, list=20%, signal=39%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	91	-0.3546886	-1.188437	0.18443114	0.3485662	1.0	6437	tags=38%, list=35%, signal=59%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	134	-0.33897865	-1.1812125	0.1589628	0.34741217	1.0	5933	tags=43%, list=33%, signal=64%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	133	-0.3382536	-1.1786186	0.1609589	0.3369973	1.0	4252	tags=31%, list=23%, signal=40%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		121	-0.33849257	-1.1772473	0.17056075	0.32393855	1.0	5659	tags=39%, list=31%, signal=56%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		149	-0.32534632	-1.1439302	0.21281464	0.38790247	1.0	3203	tags=22%, list=18%, signal=27%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	-0.31956396	-1.134176	0.22791712	0.39604908	1.0	4140	tags=23%, list=23%, signal=30%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	-0.36975342	-1.111764	0.30366492	0.4316113	1.0	5318	tags=31%, list=29%, signal=44%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		162	-0.30848652	-1.0971892	0.2996595	0.45113182	1.0	2234	tags=13%, list=12%, signal=15%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		156	-0.30910707	-1.0901397	0.3	0.45129138	1.0	3978	tags=25%, list=22%, signal=32%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		122	-0.30662116	-1.0432178	0.40229884	0.5531018	1.0	1612	tags=11%, list=9%, signal=13%	
