NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	29	-0.6007262	-1.75747	0.0016528926	0.019155128	0.025	5325	tags=55%, list=29%, signal=78%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	107	-0.40460348	-1.4803092	0.011331445	0.17919302	0.392	6248	tags=61%, list=35%, signal=92%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	155	-0.36992177	-1.4048284	0.019417476	0.24940923	0.625	4253	tags=30%, list=24%, signal=39%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	-0.46184734	-1.38794	0.06376361	0.21608575	0.685	5612	tags=49%, list=31%, signal=70%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	172	-0.35315967	-1.361322	0.024965325	0.2160945	0.767	6299	tags=45%, list=35%, signal=69%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	37	-0.44241318	-1.3509479	0.09419152	0.1967935	0.797	2516	tags=32%, list=14%, signal=38%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	168	-0.35000426	-1.344149	0.031914894	0.18045732	0.819	5334	tags=41%, list=29%, signal=58%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	163	-0.34838885	-1.3278819	0.034530386	0.17990445	0.857	4695	tags=34%, list=26%, signal=46%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	145	-0.33510596	-1.2687492	0.065714285	0.2554565	0.958	4995	tags=34%, list=28%, signal=46%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	156	-0.3123499	-1.1912212	0.13741496	0.40599984	0.995	4277	tags=32%, list=24%, signal=42%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	141	-0.30350816	-1.1515087	0.18636996	0.4779078	1.0	4506	tags=27%, list=25%, signal=36%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	90	-0.31670323	-1.0982137	0.3020528	0.59790915	1.0	2642	tags=21%, list=15%, signal=25%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	70	-0.31984192	-1.0912935	0.28831562	0.57520825	1.0	4932	tags=34%, list=27%, signal=47%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	164	-0.2844325	-1.0911492	0.26768377	0.5345128	1.0	2115	tags=16%, list=12%, signal=18%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	89	-0.30779457	-1.0843201	0.31586826	0.51788515	1.0	3826	tags=26%, list=21%, signal=33%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	121	-0.28909448	-1.067024	0.3281027	0.53182817	1.0	6108	tags=48%, list=34%, signal=72%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	133	-0.27967584	-1.0425966	0.3929078	0.567356	1.0	5040	tags=37%, list=28%, signal=51%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	155	-0.2716473	-1.0391644	0.36737588	0.5451725	1.0	1907	tags=13%, list=11%, signal=14%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	29	-0.3357542	-0.9806837	0.4859967	0.6781079	1.0	6979	tags=62%, list=39%, signal=101%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	-0.32813543	-0.9784868	0.49520767	0.64998823	1.0	6972	tags=54%, list=39%, signal=88%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		150	-0.2424056	-0.91720945	0.63858694	0.7840474	1.0	2493	tags=13%, list=14%, signal=15%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		155	-0.23018079	-0.89060366	0.694259	0.8187469	1.0	2869	tags=19%, list=16%, signal=22%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	-0.2407416	-0.84480995	0.7892377	0.89207023	1.0	3230	tags=18%, list=18%, signal=22%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		133	-0.22486424	-0.84250045	0.8080668	0.85960996	1.0	4454	tags=23%, list=25%, signal=31%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		176	-0.20918897	-0.8148859	0.89066666	0.87932795	1.0	3125	tags=19%, list=17%, signal=23%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		33	-0.26933524	-0.79761255	0.7863105	0.8735228	1.0	5263	tags=33%, list=29%, signal=47%	
