NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	172	-0.69947404	-3.157194	0.0	0.0	0.0	2752	tags=71%, list=15%, signal=83%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	-0.67832255	-3.0257494	0.0	0.0	0.0	2692	tags=60%, list=15%, signal=69%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	-0.5538055	-2.4509513	0.0	0.0	0.0	4107	tags=57%, list=22%, signal=73%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	-0.6210639	-2.248642	0.0	0.0	0.0	2710	tags=62%, list=15%, signal=73%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	88	-0.37601706	-1.5321594	0.006116208	0.015585282	0.095	4609	tags=47%, list=25%, signal=62%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	180	-0.31102428	-1.3978809	0.004651163	0.04054299	0.27	2506	tags=32%, list=14%, signal=36%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	141	-0.29717195	-1.3019177	0.007575758	0.07794454	0.513	4423	tags=40%, list=24%, signal=52%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	132	-0.29417583	-1.2720699	0.046263345	0.09007669	0.617	3427	tags=33%, list=19%, signal=40%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	38	-0.33002666	-1.1522245	0.22739726	0.20041673	0.91	4738	tags=39%, list=26%, signal=53%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	-0.22072671	-0.9822297	0.47945204	0.54083127	0.999	2471	tags=22%, list=14%, signal=26%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	-0.27862504	-0.9539201	0.53387535	0.56902015	1.0	3056	tags=27%, list=17%, signal=32%	
