NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	157	-0.47233018	-1.8878689	0.0	0.0034392364	0.003	2749	tags=29%, list=15%, signal=34%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	-0.5122322	-1.7626221	0.0053859963	0.009291465	0.016	4151	tags=52%, list=23%, signal=67%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	165	-0.41846836	-1.683076	0.0	0.018118646	0.047	2891	tags=27%, list=16%, signal=31%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	169	-0.41610777	-1.6637348	0.0	0.016880786	0.059	3801	tags=33%, list=21%, signal=41%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	134	-0.4049145	-1.5829983	0.0016891892	0.029630337	0.125	3185	tags=28%, list=17%, signal=34%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	152	-0.36353135	-1.427743	0.011532125	0.1061827	0.444	2385	tags=20%, list=13%, signal=23%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	-0.4166038	-1.4272838	0.04918033	0.091166444	0.445	3204	tags=23%, list=18%, signal=28%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	121	-0.3576949	-1.3905101	0.026041666	0.11136344	0.574	2467	tags=21%, list=14%, signal=25%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	173	-0.32953358	-1.3422086	0.027729636	0.15195891	0.738	3754	tags=25%, list=21%, signal=31%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	-0.32116005	-1.2979171	0.031034483	0.19705924	0.852	3865	tags=26%, list=21%, signal=33%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	133	-0.32903957	-1.2872514	0.05372617	0.19351797	0.868	1347	tags=13%, list=7%, signal=14%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	146	-0.30185702	-1.2003765	0.09893993	0.34720853	0.982	1637	tags=14%, list=9%, signal=15%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	174	-0.29633665	-1.1966016	0.108843535	0.3294649	0.983	2993	tags=22%, list=16%, signal=27%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	30	-0.39118168	-1.1820936	0.23722628	0.34251425	0.989	4956	tags=37%, list=27%, signal=50%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	-0.359578	-1.1702018	0.19888476	0.34722203	0.994	4758	tags=43%, list=26%, signal=58%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	171	-0.2807413	-1.1295464	0.19516407	0.42281824	0.999	2445	tags=15%, list=13%, signal=17%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	172	-0.2777964	-1.1196082	0.1826087	0.42294663	0.999	3125	tags=13%, list=17%, signal=16%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	155	-0.27485454	-1.1053485	0.24518389	0.43616727	1.0	4573	tags=34%, list=25%, signal=44%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	107	-0.28275144	-1.0619836	0.31305903	0.5324214	1.0	1944	tags=17%, list=11%, signal=19%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	134	-0.26746064	-1.0413746	0.36221838	0.56325454	1.0	4151	tags=31%, list=23%, signal=40%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.25269935	-0.9876069	0.48056537	0.6987847	1.0	2912	tags=15%, list=16%, signal=18%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		34	-0.31541288	-0.9752357	0.49320388	0.70784485	1.0	2275	tags=15%, list=12%, signal=17%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		71	-0.2721759	-0.9551752	0.52862597	0.7415392	1.0	5569	tags=39%, list=31%, signal=57%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		47	-0.28811786	-0.9507124	0.5306859	0.7247565	1.0	6302	tags=55%, list=35%, signal=84%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		156	-0.23514764	-0.9495784	0.57664233	0.6989979	1.0	3685	tags=21%, list=20%, signal=25%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	-0.25262538	-0.9290186	0.61580884	0.73329043	1.0	3664	tags=22%, list=20%, signal=28%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		147	-0.23376541	-0.92416567	0.63345194	0.7196983	1.0	3398	tags=18%, list=19%, signal=22%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		124	-0.23519465	-0.919486	0.66787004	0.70720893	1.0	4893	tags=28%, list=27%, signal=38%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		142	-0.22362253	-0.88314813	0.75661373	0.77842736	1.0	3455	tags=16%, list=19%, signal=20%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		158	-0.20764497	-0.8308044	0.8624788	0.86585313	1.0	2470	tags=15%, list=14%, signal=17%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	-0.21476062	-0.8057503	0.8833922	0.8828111	1.0	3261	tags=16%, list=18%, signal=20%	
