NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	47	0.6559149	2.1272032	0.0	0.0	0.0	2640	tags=51%, list=14%, signal=60%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	0.56825536	2.0796044	0.0	0.0	0.0	3205	tags=40%, list=18%, signal=49%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	165	0.5059168	2.0109184	0.0	0.0	0.0	2266	tags=30%, list=12%, signal=34%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	91	0.5423859	2.0058956	0.0	0.0	0.0	5275	tags=60%, list=29%, signal=85%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	146	0.4869957	1.9286551	0.0	4.3789175E-4	0.002	3354	tags=37%, list=18%, signal=45%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	132	0.47946	1.8662294	0.0	7.5722585E-4	0.004	2457	tags=30%, list=13%, signal=34%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	173	0.45003983	1.8004007	0.0	0.001335986	0.008	2460	tags=24%, list=13%, signal=28%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	0.50345755	1.7289205	0.004140787	0.002513536	0.018	3405	tags=42%, list=19%, signal=51%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	156	0.4343521	1.7249442	0.0	0.0022342545	0.018	3205	tags=37%, list=18%, signal=45%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	177	0.41974348	1.6986126	0.0	0.0030949924	0.027	2146	tags=25%, list=12%, signal=29%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	90	0.43688327	1.5997772	0.0018903592	0.007826717	0.071	2439	tags=30%, list=13%, signal=34%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	169	0.3966404	1.5835423	0.0	0.008052312	0.079	2739	tags=30%, list=15%, signal=34%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	90	0.4241078	1.5519271	0.00407332	0.010070359	0.103	3238	tags=38%, list=18%, signal=46%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	152	0.37796688	1.4955679	0.0	0.01645072	0.177	3192	tags=24%, list=17%, signal=29%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	158	0.36714038	1.4645753	0.004008016	0.021544706	0.236	1833	tags=22%, list=10%, signal=24%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	0.4535408	1.4501146	0.03307393	0.023550538	0.272	2025	tags=26%, list=11%, signal=29%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	156	0.36612633	1.4325328	0.010593221	0.026574967	0.321	2263	tags=26%, list=12%, signal=30%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	121	0.3772306	1.4306799	0.008510638	0.025577903	0.328	2508	tags=27%, list=14%, signal=31%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	174	0.35922116	1.4270495	0.008179959	0.025266644	0.338	2688	tags=30%, list=15%, signal=35%	
