NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	47	0.5922458	1.9523348	0.0	0.0012580644	0.001	2880	tags=49%, list=16%, signal=58%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	165	0.48699838	1.9397057	0.0	6.290322E-4	0.001	3028	tags=34%, list=17%, signal=40%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	92	0.5123929	1.8994236	0.0	7.6146005E-4	0.002	5404	tags=54%, list=30%, signal=77%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	122	0.47575933	1.8350433	0.0	0.0019063348	0.007	2004	tags=26%, list=11%, signal=29%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	169	0.4536317	1.8075331	0.0	0.0017766807	0.008	2707	tags=30%, list=15%, signal=35%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	134	0.46108556	1.7932141	0.0	0.0018141201	0.01	2873	tags=33%, list=16%, signal=39%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	173	0.4313143	1.7413968	0.0	0.002948837	0.019	5403	tags=45%, list=30%, signal=63%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	146	0.42723438	1.6774701	0.0	0.0062665828	0.046	2588	tags=29%, list=14%, signal=33%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	157	0.4213172	1.6690052	0.0	0.00669059	0.055	2840	tags=29%, list=16%, signal=34%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	177	0.40299207	1.6194485	0.0	0.01102794	0.099	2644	tags=27%, list=14%, signal=31%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	0.475962	1.6185066	0.004464286	0.0100254	0.099	2411	tags=28%, list=13%, signal=33%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	132	0.41847974	1.6160349	0.0013586957	0.009280227	0.1	4680	tags=39%, list=26%, signal=53%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	0.4331657	1.6089592	0.0	0.009640301	0.112	4347	tags=37%, list=24%, signal=49%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	0.40599918	1.6080751	0.0	0.009115715	0.114	6535	tags=50%, list=36%, signal=77%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	90	0.43658954	1.5974474	0.0	0.009625333	0.128	2054	tags=26%, list=11%, signal=29%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	174	0.3880043	1.5558555	0.0	0.01303852	0.175	4274	tags=37%, list=23%, signal=48%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	152	0.3867104	1.5306032	0.0053547523	0.015652198	0.216	3341	tags=24%, list=18%, signal=29%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	0.4764118	1.5271696	0.019417476	0.015447482	0.223	2544	tags=26%, list=14%, signal=30%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	0.43998817	1.5218576	0.014705882	0.01533275	0.232	5532	tags=50%, list=30%, signal=71%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	156	0.37886214	1.5020871	0.0026666666	0.017626386	0.279	1269	tags=16%, list=7%, signal=17%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.34682193	1.3609987	0.027210884	0.06588465	0.724	3387	tags=31%, list=19%, signal=38%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		158	0.34104785	1.3466719	0.03208556	0.070904665	0.772	2189	tags=20%, list=12%, signal=23%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		34	0.4188974	1.285366	0.12995246	0.11933708	0.925	1264	tags=18%, list=7%, signal=19%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		170	0.31144238	1.2521213	0.08207934	0.15427616	0.967	2236	tags=19%, list=12%, signal=22%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		171	0.31289503	1.2454915	0.07593308	0.1556072	0.974	1298	tags=10%, list=7%, signal=11%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		71	0.34364218	1.2075067	0.17339313	0.2001067	0.991	2308	tags=20%, list=13%, signal=22%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.3210668	1.1709849	0.1981982	0.2502144	0.999	4754	tags=38%, list=26%, signal=51%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	0.2805879	1.1109962	0.22944297	0.35383433	1.0	3364	tags=22%, list=18%, signal=27%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	0.36669764	1.08756	0.33387887	0.39284316	1.0	1000	tags=10%, list=5%, signal=11%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		147	0.27194482	1.0708628	0.3159304	0.41722655	1.0	4316	tags=27%, list=24%, signal=35%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		165	0.2666598	1.057681	0.34880635	0.43328217	1.0	3417	tags=22%, list=19%, signal=27%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.28759032	1.041886	0.37573963	0.4550398	1.0	3833	tags=31%, list=21%, signal=39%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		108	0.2717966	1.0276904	0.40756303	0.47590613	1.0	2844	tags=19%, list=16%, signal=22%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.25836408	0.9918165	0.4772118	0.54711735	1.0	5478	tags=38%, list=30%, signal=54%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		123	0.25698283	0.9834676	0.50625867	0.55252707	1.0	1971	tags=13%, list=11%, signal=14%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	0.24471615	0.95084363	0.59005374	0.6158182	1.0	3336	tags=22%, list=18%, signal=26%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	0.27617568	0.8637374	0.68471336	0.7995745	1.0	3015	tags=20%, list=17%, signal=24%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.22669606	0.8274981	0.8237822	0.8522242	1.0	3298	tags=22%, list=18%, signal=26%	
