NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	0.57685965	1.9722309	0.0	0.0	0.0	3370	tags=39%, list=19%, signal=48%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	90	0.5733793	1.9463773	0.0	0.0	0.0	2653	tags=39%, list=15%, signal=45%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	37	0.62934226	1.8492941	0.0	9.57906E-4	0.003	3084	tags=49%, list=17%, signal=59%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	29	0.62852496	1.7269047	0.003236246	0.005265665	0.022	4016	tags=38%, list=22%, signal=49%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	165	0.43119857	1.5631843	0.0	0.034597483	0.16	3257	tags=24%, list=18%, signal=29%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	163	0.42263559	1.5529696	0.00124533	0.033430893	0.184	2454	tags=18%, list=14%, signal=21%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	92	0.4564046	1.5470188	0.0066401064	0.03094271	0.198	4744	tags=43%, list=26%, signal=59%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	155	0.42388564	1.5386446	0.0025445293	0.029717516	0.213	3498	tags=26%, list=19%, signal=32%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	107	0.43835223	1.5228525	0.005167959	0.03128985	0.246	2151	tags=20%, list=12%, signal=22%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	175	0.4067516	1.5092862	0.0	0.032294385	0.281	1955	tags=20%, list=11%, signal=22%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	47	0.47376347	1.4437008	0.03576751	0.059924137	0.482	3671	tags=36%, list=20%, signal=45%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	146	0.3926188	1.4167325	0.013140605	0.073143065	0.582	2772	tags=26%, list=15%, signal=30%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	131	0.39087546	1.3941783	0.021220159	0.081351824	0.662	3157	tags=28%, list=17%, signal=34%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	0.4869992	1.3815526	0.07810107	0.08605579	0.703	1866	tags=20%, list=10%, signal=22%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	90	0.37997586	1.2972007	0.086603515	0.17060906	0.928	4179	tags=30%, list=23%, signal=39%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	156	0.3465819	1.267829	0.07369759	0.2050639	0.957	3358	tags=24%, list=19%, signal=29%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	155	0.34073517	1.2369622	0.09838107	0.24741767	0.982	2545	tags=18%, list=14%, signal=21%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	133	0.33712968	1.2093896	0.12467191	0.28669488	0.995	5492	tags=35%, list=30%, signal=49%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	155	0.3273162	1.1862711	0.14622056	0.31789064	1.0	5143	tags=32%, list=28%, signal=45%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	149	0.31584823	1.1373113	0.21722364	0.41786927	1.0	2622	tags=17%, list=14%, signal=20%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		169	0.3108769	1.1280583	0.2080292	0.4230813	1.0	4576	tags=28%, list=25%, signal=38%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		146	0.30866665	1.1119035	0.25526643	0.4481634	1.0	3477	tags=19%, list=19%, signal=24%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.30772218	1.0406063	0.38409704	0.62144214	1.0	3966	tags=25%, list=22%, signal=32%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		122	0.27869463	0.97498786	0.5144737	0.7920231	1.0	2290	tags=13%, list=13%, signal=15%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.26428425	0.96459776	0.5403423	0.79463726	1.0	3136	tags=18%, list=17%, signal=22%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.2593461	0.95869315	0.5703884	0.78160346	1.0	2760	tags=17%, list=15%, signal=20%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	0.27770752	0.93891746	0.5882353	0.8101514	1.0	3255	tags=21%, list=18%, signal=26%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	0.32051924	0.93085206	0.5840841	0.8031133	1.0	3041	tags=16%, list=17%, signal=19%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		122	0.25892195	0.91427195	0.6236842	0.8212227	1.0	2963	tags=20%, list=16%, signal=23%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.25448966	0.9104154	0.6596584	0.8029406	1.0	3227	tags=18%, list=18%, signal=22%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	0.24347353	0.8718637	0.72821844	0.8682929	1.0	3358	tags=19%, list=19%, signal=23%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		173	0.23471233	0.859965	0.7974522	0.86957246	1.0	1187	tags=8%, list=7%, signal=8%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.2194653	0.8138021	0.88723665	0.94048476	1.0	3511	tags=22%, list=19%, signal=27%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		171	0.20615695	0.7623209	0.94464946	0.9935426	1.0	7389	tags=43%, list=41%, signal=71%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.23205005	0.739903	0.888102	0.990818	1.0	3413	tags=18%, list=19%, signal=23%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		33	0.2184064	0.62848175	0.9598811	1.0	1.0	2642	tags=12%, list=15%, signal=14%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		70	0.17545597	0.5726034	0.99435824	0.99739355	1.0	3477	tags=14%, list=19%, signal=18%	
