NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	173	-0.7686562	-3.090025	0.0	0.0	0.0	1835	tags=66%, list=10%, signal=73%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	-0.7174161	-2.843139	0.0	0.0	0.0	2689	tags=60%, list=15%, signal=69%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	-0.69472134	-2.7448392	0.0	0.0	0.0	2933	tags=58%, list=16%, signal=69%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	-0.7377732	-2.4377608	0.0	0.0	0.0	2734	tags=70%, list=15%, signal=82%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	141	-0.54350233	-2.1059117	0.0	0.0	0.0	3645	tags=52%, list=20%, signal=64%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	132	-0.47597808	-1.8458204	0.0	5.1473046E-4	0.004	2551	tags=35%, list=14%, signal=40%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	180	-0.42447484	-1.7085916	0.0	0.0012961046	0.011	1176	tags=27%, list=6%, signal=28%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	90	-0.45023182	-1.6282115	0.0	0.0040965695	0.039	3313	tags=32%, list=18%, signal=39%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	70	-0.37085664	-1.295584	0.06967213	0.12664142	0.754	2426	tags=26%, list=13%, signal=30%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	-0.32240647	-1.2938935	0.022177419	0.115439884	0.761	3825	tags=35%, list=21%, signal=44%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	147	-0.3143785	-1.2432587	0.07047619	0.16432977	0.884	3945	tags=37%, list=22%, signal=46%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	169	-0.28573444	-1.1432774	0.14376321	0.32104012	0.992	3823	tags=38%, list=21%, signal=47%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	134	-0.28615603	-1.1091384	0.21389396	0.37344646	0.997	3822	tags=28%, list=21%, signal=36%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	-0.29023945	-1.0637422	0.33870968	0.465337	1.0	3824	tags=33%, list=21%, signal=41%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	155	-0.2636023	-1.0468669	0.3222004	0.48216432	1.0	3403	tags=25%, list=19%, signal=30%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	34	-0.3033027	-0.9322946	0.56640625	0.81269574	1.0	2417	tags=26%, list=13%, signal=30%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	-0.26634166	-0.8289635	0.7758621	1.0	1.0	4898	tags=34%, list=27%, signal=47%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	106	-0.21724677	-0.8172107	0.8904665	1.0	1.0	3900	tags=20%, list=21%, signal=25%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	38	-0.25243685	-0.7868025	0.84791666	1.0	1.0	6390	tags=50%, list=35%, signal=77%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	-0.23786315	-0.73310685	0.8964844	1.0	1.0	4274	tags=35%, list=23%, signal=46%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.2114736	-0.62437975	0.98128897	0.99609447	1.0	4274	tags=30%, list=23%, signal=39%	
