NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	-0.50793135	-1.9166362	0.0	0.0015800415	0.002	3572	tags=36%, list=20%, signal=44%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	-0.47123885	-1.7890021	0.0	0.0034822081	0.008	2725	tags=24%, list=15%, signal=28%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	-0.55507064	-1.7421348	0.0047095763	0.0042831153	0.015	4191	tags=40%, list=23%, signal=52%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	132	-0.46675342	-1.7092968	0.0	0.005720363	0.027	3825	tags=40%, list=21%, signal=50%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	141	-0.44660836	-1.6378342	0.0014084507	0.011265264	0.065	3989	tags=38%, list=22%, signal=48%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	-0.41986042	-1.56419	0.0	0.021850152	0.139	4997	tags=39%, list=27%, signal=53%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	-0.47564396	-1.5444114	0.009630819	0.023272619	0.171	4796	tags=38%, list=26%, signal=52%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	168	-0.40618318	-1.5285761	0.0	0.024628725	0.197	3925	tags=32%, list=21%, signal=40%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	-0.36526975	-1.2964121	0.074074075	0.22544579	0.902	2633	tags=21%, list=14%, signal=24%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	173	-0.33620584	-1.2717637	0.05758427	0.24797675	0.945	3413	tags=24%, list=19%, signal=29%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	134	-0.3396863	-1.2474136	0.0971831	0.27704477	0.974	2946	tags=20%, list=16%, signal=24%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	133	-0.32420924	-1.1999556	0.13661972	0.36216688	0.996	2742	tags=16%, list=15%, signal=18%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	-0.39190954	-1.1806097	0.22113821	0.3818883	0.998	1928	tags=19%, list=11%, signal=21%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	146	-0.29089576	-1.0783105	0.30191258	0.66207325	1.0	3768	tags=21%, list=21%, signal=26%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	133	-0.2574492	-0.94423693	0.58055556	1.0	1.0	5084	tags=32%, list=28%, signal=43%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	173	-0.24440114	-0.9326143	0.63770056	1.0	1.0	3420	tags=15%, list=19%, signal=18%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	174	-0.2464418	-0.9248701	0.6387782	1.0	1.0	2427	tags=14%, list=13%, signal=16%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	-0.23966205	-0.9034448	0.70014143	1.0	1.0	2798	tags=15%, list=15%, signal=18%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	155	-0.23091857	-0.87501913	0.75067383	1.0	1.0	2432	tags=14%, list=13%, signal=16%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	70	-0.25523692	-0.86248374	0.7102362	1.0	1.0	1682	tags=10%, list=9%, signal=11%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		121	-0.23693894	-0.8535568	0.7818448	1.0	1.0	4801	tags=31%, list=26%, signal=41%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		150	-0.2299092	-0.84818405	0.8161245	1.0	1.0	3704	tags=20%, list=20%, signal=25%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.29505476	-0.8402382	0.7109634	1.0	1.0	5491	tags=37%, list=30%, signal=52%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	-0.2533469	-0.8290311	0.77237046	1.0	1.0	865	tags=7%, list=5%, signal=7%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		165	-0.20933186	-0.78375167	0.9196676	1.0	1.0	3194	tags=15%, list=17%, signal=18%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		169	-0.20350301	-0.77057683	0.95435685	1.0	1.0	4191	tags=21%, list=23%, signal=27%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		108	-0.21413453	-0.76724243	0.9225251	1.0	1.0	1593	tags=9%, list=9%, signal=10%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		90	-0.19418271	-0.68486816	0.9751462	1.0	1.0	3451	tags=18%, list=19%, signal=22%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		121	-0.17811392	-0.64265007	0.9985816	1.0	1.0	4321	tags=22%, list=24%, signal=29%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	-0.16494237	-0.6270275	1.0	0.99388605	1.0	4110	tags=18%, list=22%, signal=23%	
