NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	173	-0.65222114	-2.8166714	0.0	0.0	0.0	3816	tags=65%, list=21%, signal=81%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	-0.59195393	-2.5071495	0.0	0.0	0.0	4077	tags=52%, list=23%, signal=66%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	-0.55025274	-2.3559911	0.0	0.0	0.0	3799	tags=55%, list=21%, signal=69%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	-0.55651337	-1.9808657	0.0	3.4593837E-4	0.002	4260	tags=60%, list=24%, signal=78%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	132	-0.43673477	-1.825416	0.0	6.500841E-4	0.004	2703	tags=35%, list=15%, signal=41%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	-0.35718524	-1.5582887	0.0	0.013311014	0.07	4227	tags=38%, list=23%, signal=49%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	-0.26697704	-1.134901	0.14507772	0.3345109	0.906	3580	tags=24%, list=20%, signal=30%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	141	-0.25731668	-1.068458	0.27962086	0.47183073	0.979	4377	tags=28%, list=24%, signal=37%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	-0.26879653	-1.0497653	0.33590734	0.47121403	0.986	3543	tags=25%, list=20%, signal=31%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	-0.2849897	-1.018779	0.39041096	0.5136004	0.996	4807	tags=40%, list=27%, signal=54%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	30	-0.29411095	-0.94705135	0.5714286	0.7000104	1.0	3954	tags=33%, list=22%, signal=43%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	-0.2801436	-0.93024	0.5797546	0.69249046	1.0	4694	tags=36%, list=26%, signal=48%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	-0.18171841	-0.7749201	0.9767442	0.93925387	1.0	2702	tags=15%, list=15%, signal=18%	
