NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	0.53648394	2.3283668	0.0	0.0	0.0	5659	tags=64%, list=31%, signal=91%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	132	0.52531326	2.2205164	0.0	0.0	0.0	3908	tags=48%, list=21%, signal=60%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	146	0.5033054	2.1835647	0.0	0.0	0.0	3276	tags=41%, list=18%, signal=50%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	0.51463276	2.1005206	0.0	0.0	0.0	4391	tags=53%, list=24%, signal=70%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	92	0.5017468	2.0380406	0.0	0.0	0.0	5150	tags=61%, list=28%, signal=84%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	90	0.4917727	1.9836317	0.0	0.0	0.0	3885	tags=42%, list=21%, signal=53%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	169	0.43758497	1.9000727	0.0	4.017857E-4	0.002	3037	tags=36%, list=17%, signal=43%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	173	0.41530374	1.8409436	0.0	3.515625E-4	0.002	4622	tags=46%, list=25%, signal=61%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	47	0.4942694	1.764139	0.0	9.5799717E-4	0.008	3555	tags=40%, list=19%, signal=50%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	164	0.36416525	1.5955685	0.0	0.0070896307	0.063	3077	tags=33%, list=17%, signal=39%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	155	0.36262888	1.5685595	0.0	0.008972866	0.085	3207	tags=36%, list=18%, signal=43%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	0.3916516	1.4832926	0.017621145	0.021661855	0.21	2772	tags=25%, list=15%, signal=29%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	174	0.32710388	1.4451034	0.0022271716	0.028928777	0.286	3908	tags=40%, list=21%, signal=50%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	178	0.32612407	1.4417677	0.0041067763	0.027791604	0.296	2570	tags=28%, list=14%, signal=32%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	134	0.32435322	1.3805183	0.012578616	0.04455272	0.451	2300	tags=27%, list=13%, signal=31%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	159	0.30928892	1.3529379	0.016091954	0.05347	0.536	2176	tags=25%, list=12%, signal=28%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	90	0.3314767	1.3366271	0.045751635	0.05925875	0.596	4574	tags=38%, list=25%, signal=50%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	0.35187557	1.2119946	0.17916666	0.15628617	0.918	2438	tags=29%, list=13%, signal=33%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	0.27400896	1.193205	0.12958963	0.17305887	0.946	3365	tags=30%, list=18%, signal=36%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	122	0.2807966	1.1786212	0.14317673	0.18254407	0.961	2688	tags=22%, list=15%, signal=26%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.30225813	1.1048608	0.2825607	0.28660443	0.992	4706	tags=43%, list=26%, signal=58%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.25259462	1.0096612	0.4334086	0.48318112	1.0	4612	tags=34%, list=25%, signal=45%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	0.2986776	1.0026661	0.44489795	0.47955832	1.0	3815	tags=27%, list=21%, signal=34%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		151	0.23272373	1.0002483	0.45182014	0.46542087	1.0	2927	tags=21%, list=16%, signal=25%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.20518637	0.81329083	0.8799127	0.88630754	1.0	3073	tags=22%, list=17%, signal=27%	
