NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	0.7997658	2.6994302	0.0	0.0	0.0	1458	tags=63%, list=8%, signal=69%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	134	0.7017204	2.6776094	0.0	0.0	0.0	2434	tags=49%, list=13%, signal=55%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	0.6359195	2.501992	0.0	0.0	0.0	4443	tags=67%, list=24%, signal=88%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	92	0.6466959	2.339736	0.0	0.0	0.0	3678	tags=61%, list=20%, signal=76%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	0.57363135	2.2483635	0.0	0.0	0.0	2586	tags=32%, list=14%, signal=37%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	142	0.56475115	2.1537373	0.0	0.0	0.0	3973	tags=46%, list=22%, signal=59%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	132	0.5597135	2.1274874	0.0	0.0	0.0	3814	tags=49%, list=21%, signal=62%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	180	0.52865696	2.106611	0.0	0.0	0.0	3308	tags=34%, list=18%, signal=42%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	0.53328437	2.0914028	0.0	0.0	0.0	3334	tags=42%, list=18%, signal=51%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	168	0.4948634	1.9601424	0.0	1.52E-4	0.001	2096	tags=26%, list=11%, signal=29%	
