NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	145	0.41095626	1.7564747	0.0	0.016434066	0.012	2748	tags=28%, list=15%, signal=32%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	0.40485245	1.6149726	0.0	0.05166727	0.066	1731	tags=21%, list=10%, signal=23%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	90	0.405565	1.5886344	0.0	0.0412207	0.081	3516	tags=34%, list=19%, signal=43%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	90	0.3903103	1.5495663	0.0	0.037381485	0.098	3899	tags=36%, list=21%, signal=45%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	156	0.3228389	1.3627183	0.022522522	0.13811553	0.376	3444	tags=26%, list=19%, signal=32%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	91	0.33601496	1.3353256	0.03436426	0.1382871	0.44	5671	tags=46%, list=31%, signal=67%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	37	0.38747123	1.3069221	0.13030303	0.14555547	0.508	1684	tags=19%, list=9%, signal=21%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	131	0.30478123	1.2528522	0.0546875	0.19540618	0.672	2870	tags=26%, list=16%, signal=31%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	0.30646643	1.1218646	0.22713864	0.46945888	0.943	4175	tags=35%, list=23%, signal=45%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	133	0.2396509	1.011913	0.44074073	0.84560466	0.995	3620	tags=25%, list=20%, signal=31%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	47	0.29003105	1.0024605	0.44126076	0.810663	0.997	4369	tags=36%, list=24%, signal=48%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	164	0.2229494	0.96740323	0.60408163	0.8872483	1.0	3456	tags=21%, list=19%, signal=25%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	155	0.22657509	0.9535083	0.5810277	0.8708097	1.0	2753	tags=19%, list=15%, signal=23%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	174	0.22476164	0.95249104	0.5954546	0.81210953	1.0	2971	tags=19%, list=16%, signal=22%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	175	0.21948186	0.94218415	0.60091746	0.79299515	1.0	4952	tags=38%, list=27%, signal=51%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	30	0.29230714	0.94180924	0.52272725	0.7448278	1.0	3945	tags=37%, list=22%, signal=47%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	173	0.2147214	0.92800653	0.67932487	0.7433873	1.0	4174	tags=25%, list=23%, signal=32%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	151	0.21738286	0.9194711	0.69921875	0.7279739	1.0	4204	tags=26%, list=23%, signal=33%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	120	0.20466185	0.83967364	0.8515625	0.8865786	1.0	2862	tags=18%, list=16%, signal=22%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	0.22007318	0.7339969	0.9101124	0.96017724	1.0	5256	tags=49%, list=29%, signal=68%	
