NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	173	0.6167253	2.69678	0.0	0.0	0.0	3366	tags=58%, list=18%, signal=71%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	0.57951736	2.6012063	0.0	0.0	0.0	3361	tags=58%, list=18%, signal=71%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	0.386513	1.6886853	0.0	0.0061427574	0.011	4152	tags=30%, list=23%, signal=39%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	180	0.34973496	1.5730963	0.0	0.013145379	0.032	4281	tags=37%, list=23%, signal=48%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	0.28199342	1.2538701	0.019607844	0.1748369	0.426	2527	tags=21%, list=14%, signal=24%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	90	0.2612203	1.0670329	0.2875	0.5916221	0.886	2894	tags=23%, list=16%, signal=28%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	0.28195873	1.045048	0.37448558	0.59042835	0.915	1879	tags=22%, list=10%, signal=24%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	173	0.2318564	1.0393666	0.32352942	0.5373456	0.925	4890	tags=42%, list=27%, signal=57%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	90	0.23939832	0.9599914	0.5647059	0.76425654	0.99	1797	tags=17%, list=10%, signal=18%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	0.24493463	0.85183036	0.722807	1.0	0.999	4103	tags=32%, list=23%, signal=42%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	133	0.17622119	0.77260584	0.9836066	1.0	1.0	4563	tags=30%, list=25%, signal=40%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	30	0.20322944	0.6701395	0.94736844	0.98643345	1.0	4100	tags=33%, list=22%, signal=43%	
