NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	0.52696323	2.2483087	0.0	0.0	0.0	4027	tags=47%, list=22%, signal=60%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	0.45970213	1.9870013	0.0	0.0	0.0	5052	tags=42%, list=28%, signal=58%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	0.39297217	1.6897951	0.0	0.013612335	0.026	4214	tags=39%, list=23%, signal=51%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	0.4071648	1.6407546	0.0028901733	0.017328003	0.044	4799	tags=42%, list=27%, signal=57%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	174	0.35111797	1.4990712	0.0	0.054508895	0.161	2531	tags=21%, list=14%, signal=24%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	0.44336534	1.4780562	0.02849741	0.054818857	0.191	3737	tags=43%, list=21%, signal=54%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	173	0.3420029	1.4601388	0.004048583	0.053865325	0.215	3247	tags=30%, list=18%, signal=36%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	0.3623835	1.3257848	0.07964602	0.14388976	0.527	3894	tags=42%, list=22%, signal=53%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	146	0.30618346	1.2990314	0.029962547	0.1574484	0.594	3596	tags=31%, list=20%, signal=38%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	91	0.32838672	1.2897252	0.05	0.15057375	0.612	4916	tags=43%, list=27%, signal=59%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	172	0.29626766	1.2749107	0.042471044	0.15396203	0.663	5783	tags=44%, list=32%, signal=64%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	131	0.30423084	1.2464007	0.08361204	0.17528851	0.736	3114	tags=27%, list=17%, signal=33%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	0.3530026	1.2330542	0.14864865	0.17776172	0.765	2850	tags=22%, list=16%, signal=26%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	0.27822602	1.1860499	0.11406844	0.2305056	0.867	6178	tags=47%, list=34%, signal=71%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	0.29462263	1.0953175	0.25304878	0.39601812	0.976	5823	tags=47%, list=32%, signal=69%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	47	0.30644804	1.0542434	0.34770116	0.48391762	0.994	3053	tags=30%, list=17%, signal=36%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	91	0.2509046	1.0041057	0.45704466	0.61561245	1.0	3112	tags=24%, list=17%, signal=29%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	156	0.23384008	0.98724705	0.49285713	0.6378451	1.0	2874	tags=21%, list=16%, signal=25%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	134	0.23750573	0.98439044	0.47315437	0.6118798	1.0	2598	tags=19%, list=14%, signal=22%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	132	0.22179726	0.9294571	0.65292096	0.75237197	1.0	5499	tags=39%, list=30%, signal=56%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.21636184	0.9248026	0.68163264	0.7338095	1.0	4136	tags=26%, list=23%, signal=33%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		121	0.20302315	0.82958585	0.9003322	0.9390963	1.0	4257	tags=31%, list=24%, signal=41%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.18893331	0.8106013	0.9366197	0.9307496	1.0	3776	tags=24%, list=21%, signal=31%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.19325396	0.7482563	0.959375	0.9546517	1.0	3121	tags=20%, list=17%, signal=24%	
