NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	37	0.5774793	1.8259549	0.0	0.0063914023	0.005	2659	tags=32%, list=15%, signal=38%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	133	0.4437983	1.8030369	0.0	0.003964932	0.006	5705	tags=54%, list=31%, signal=78%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	90	0.33937305	1.3164749	0.06918239	0.30591714	0.514	4907	tags=36%, list=27%, signal=48%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	173	0.308351	1.3063198	0.016	0.24874988	0.543	4739	tags=39%, list=26%, signal=52%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	180	0.3084592	1.3005476	0.028571429	0.20504172	0.558	4993	tags=30%, list=27%, signal=41%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	89	0.3051216	1.1961634	0.10324484	0.39656866	0.861	3668	tags=21%, list=20%, signal=27%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	0.36477992	1.163475	0.23015873	0.4371067	0.914	4508	tags=43%, list=25%, signal=57%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	0.3657673	1.1625704	0.20626631	0.38542262	0.914	4526	tags=49%, list=25%, signal=65%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	29	0.37855518	1.161552	0.25233644	0.34508747	0.917	5364	tags=45%, list=29%, signal=63%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	163	0.26196784	1.0914158	0.19636364	0.5155737	0.99	3404	tags=23%, list=19%, signal=28%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	176	0.254112	1.063284	0.2857143	0.5635183	0.997	4310	tags=31%, list=24%, signal=40%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	90	0.2596909	1.0145383	0.44200626	0.6875364	1.0	5475	tags=44%, list=30%, signal=63%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	155	0.24547285	1.0142201	0.4214876	0.63667	1.0	4717	tags=29%, list=26%, signal=39%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	47	0.27694046	0.93987054	0.5738162	0.87081015	1.0	3212	tags=23%, list=18%, signal=28%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	92	0.22949323	0.88234925	0.7012987	1.0	1.0	5598	tags=41%, list=31%, signal=59%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	155	0.21140237	0.88016206	0.83687943	0.95682544	1.0	3330	tags=19%, list=18%, signal=23%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	93	0.22637373	0.8682773	0.781155	0.9343407	1.0	5475	tags=41%, list=30%, signal=58%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	147	0.20563361	0.8569887	0.8700361	0.9082815	1.0	3083	tags=18%, list=17%, signal=21%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	33	0.23163669	0.73855597	0.8832891	1.0	1.0	4902	tags=33%, list=27%, signal=45%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	157	0.17060441	0.70769227	1.0	0.9789983	1.0	5838	tags=37%, list=32%, signal=54%	
