NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	38	0.69793946	2.3350265	0.0	0.0	0.0	2754	tags=47%, list=15%, signal=56%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	0.54722667	2.2929642	0.0	0.0	0.0	4664	tags=58%, list=26%, signal=78%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	173	0.5064799	2.127323	0.0	0.0	0.0	4656	tags=65%, list=26%, signal=86%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	0.4070468	1.685098	0.0	0.012511476	0.056	4656	tags=47%, list=26%, signal=62%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	0.45324266	1.5411259	0.02832244	0.030901406	0.153	4525	tags=58%, list=25%, signal=77%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	89	0.38335526	1.445974	0.016393442	0.060114548	0.339	3336	tags=31%, list=18%, signal=38%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	180	0.33429703	1.3944302	0.00921659	0.08005257	0.475	3363	tags=32%, list=18%, signal=38%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	90	0.3636659	1.3551517	0.03125	0.092824325	0.575	3032	tags=29%, list=17%, signal=34%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	0.31877777	1.3260422	0.034802783	0.10465716	0.662	3125	tags=26%, list=17%, signal=32%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	133	0.3107148	1.2700346	0.05529954	0.14920801	0.824	5763	tags=44%, list=32%, signal=64%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	91	0.32162115	1.2160864	0.12053572	0.20101272	0.911	2866	tags=22%, list=16%, signal=26%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	0.25125346	0.9671803	0.51428574	0.8288357	1.0	4809	tags=43%, list=26%, signal=58%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	0.29920268	0.9563716	0.52060735	0.8030871	1.0	1609	tags=19%, list=9%, signal=21%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	0.24713704	0.94513905	0.5751634	0.7833502	1.0	2752	tags=19%, list=15%, signal=22%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	29	0.31126997	0.9433892	0.54304636	0.7362231	1.0	1812	tags=17%, list=10%, signal=19%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	155	0.23168328	0.94026875	0.58468676	0.699801	1.0	2956	tags=21%, list=16%, signal=24%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	177	0.21650931	0.90726256	0.7325301	0.7549679	1.0	2796	tags=18%, list=15%, signal=21%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	166	0.21326928	0.886759	0.7567568	0.7672362	1.0	4366	tags=27%, list=24%, signal=35%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	0.21517318	0.67420083	0.9461207	0.9859055	1.0	2374	tags=17%, list=13%, signal=20%	
