NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	91	-0.40089607	-1.5509311	0.0020325202	0.064584546	0.134	5406	tags=46%, list=30%, signal=66%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	-0.43616235	-1.545344	0.018404908	0.03405179	0.141	2880	tags=30%, list=16%, signal=36%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	48	-0.36637208	-1.2827809	0.09368636	0.24384566	0.82	3967	tags=35%, list=22%, signal=45%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	147	-0.29945678	-1.2465202	0.053254437	0.2453123	0.909	3820	tags=31%, list=21%, signal=39%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	37	-0.3447451	-1.1017709	0.2972441	0.5440995	0.996	4019	tags=41%, list=22%, signal=52%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	155	-0.26354927	-1.077119	0.26654065	0.5281254	1.0	3244	tags=26%, list=18%, signal=32%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	173	-0.23573887	-0.98286426	0.5146199	0.7637448	1.0	3408	tags=21%, list=19%, signal=25%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	-0.29772446	-0.9450424	0.5568628	0.8045509	1.0	3678	tags=34%, list=21%, signal=43%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	91	-0.24148512	-0.9347585	0.5948617	0.7475233	1.0	3497	tags=25%, list=20%, signal=31%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	96	-0.23105775	-0.89897245	0.71374047	0.7781159	1.0	4844	tags=38%, list=27%, signal=51%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	-0.12004481	-0.5022173	1.0	0.9996769	1.0	6785	tags=38%, list=38%, signal=60%	
