NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	-0.7325044	-3.025104	0.0	0.0	0.0	2679	tags=58%, list=15%, signal=67%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	173	-0.6971632	-2.9232972	0.0	0.0	0.0	2229	tags=50%, list=12%, signal=57%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	-0.6904988	-2.8806274	0.0	0.0	0.0	1653	tags=45%, list=9%, signal=49%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	-0.7098885	-2.4585292	0.0	0.0	0.0	4256	tags=72%, list=24%, signal=94%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	132	-0.5206359	-2.0833585	0.0	1.7777778E-4	0.001	3271	tags=35%, list=18%, signal=42%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	-0.4454822	-1.835853	0.0	8.612217E-4	0.006	4875	tags=45%, list=27%, signal=61%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	89	-0.48179698	-1.8299483	0.0	7.3819E-4	0.006	2975	tags=36%, list=17%, signal=43%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	-0.42919248	-1.7898858	0.0	0.0012947613	0.012	3870	tags=34%, list=21%, signal=43%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	170	-0.42733967	-1.7675767	0.0	0.0013229422	0.014	4330	tags=49%, list=24%, signal=64%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	151	-0.39238074	-1.5951009	0.0017921147	0.007405874	0.082	3410	tags=37%, list=19%, signal=45%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	140	-0.3821867	-1.5478348	0.0053475937	0.011787316	0.137	3225	tags=30%, list=18%, signal=36%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	180	-0.3420961	-1.4255474	0.010657194	0.03727368	0.415	1753	tags=21%, list=10%, signal=23%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	124	-0.35390624	-1.4037238	0.015267176	0.041712426	0.477	2770	tags=29%, list=15%, signal=34%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	156	-0.3095517	-1.2694442	0.06521739	0.13260125	0.899	4043	tags=40%, list=22%, signal=52%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	174	-0.2908578	-1.218572	0.073529415	0.18265072	0.976	2641	tags=20%, list=15%, signal=23%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	-0.30972293	-1.1871986	0.14917128	0.2151234	0.988	3152	tags=22%, list=17%, signal=26%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	28	-0.35523608	-1.048914	0.38606402	0.48822087	1.0	4314	tags=46%, list=24%, signal=61%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	-0.32328907	-1.0470699	0.37243947	0.46728483	1.0	3346	tags=29%, list=19%, signal=35%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	-0.316794	-1.0141895	0.4249548	0.52999985	1.0	3052	tags=32%, list=17%, signal=39%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	133	-0.24450012	-0.9836584	0.48869565	0.58566046	1.0	2186	tags=15%, list=12%, signal=17%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		91	-0.25900084	-0.97391003	0.51962614	0.5838993	1.0	2517	tags=14%, list=14%, signal=17%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		170	-0.22565226	-0.934149	0.63422817	0.6614189	1.0	3323	tags=25%, list=18%, signal=30%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		109	-0.22839613	-0.89387894	0.6835206	0.738526	1.0	4061	tags=27%, list=23%, signal=34%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.2777082	-0.84698015	0.71227366	0.814723	1.0	1171	tags=17%, list=6%, signal=18%	
