NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	-0.7525412	-3.4020581	0.0	0.0	0.0	2466	tags=67%, list=14%, signal=77%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	-0.7051053	-3.1346364	0.0	0.0	0.0	3345	tags=72%, list=18%, signal=87%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	-0.65784734	-2.8978984	0.0	0.0	0.0	2170	tags=47%, list=12%, signal=53%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	-0.6321961	-2.6145506	0.0	0.0	0.0	2938	tags=46%, list=16%, signal=55%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	-0.7050773	-2.5633376	0.0	0.0	0.0	2707	tags=58%, list=15%, signal=68%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	172	-0.5564236	-2.5176764	0.0	0.0	0.0	1792	tags=36%, list=10%, signal=40%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	-0.51819855	-2.2955275	0.0	0.0	0.0	3187	tags=44%, list=18%, signal=53%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	91	-0.56398803	-2.260826	0.0	0.0	0.0	4110	tags=52%, list=23%, signal=66%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	133	-0.52315766	-2.2573583	0.0	0.0	0.0	3167	tags=41%, list=17%, signal=50%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	171	-0.47844434	-2.175835	0.0	0.0	0.0	4878	tags=53%, list=27%, signal=71%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	132	-0.45906326	-1.9789765	0.0	0.0	0.0	2242	tags=30%, list=12%, signal=33%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	174	-0.42264226	-1.8934004	0.0	4.5016344E-4	0.002	4889	tags=48%, list=27%, signal=65%	
