NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	-0.57164675	-2.045865	0.0	0.0	0.0	3064	tags=43%, list=17%, signal=52%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	-0.40547925	-1.697996	0.0	0.01083541	0.039	2915	tags=32%, list=16%, signal=38%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	167	-0.3525199	-1.4968324	0.0	0.047204	0.23	3000	tags=22%, list=17%, signal=26%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	133	-0.35461417	-1.4684558	0.009009009	0.0477774	0.298	3634	tags=35%, list=20%, signal=43%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	122	-0.29612383	-1.1858002	0.1539924	0.44230968	0.983	2412	tags=21%, list=13%, signal=24%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	163	-0.24590865	-1.0429248	0.34829444	0.9051797	1.0	4009	tags=29%, list=22%, signal=37%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	69	-0.279511	-1.0390425	0.37937742	0.79085886	1.0	4148	tags=33%, list=23%, signal=43%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	145	-0.2360161	-0.97266537	0.5036765	0.959174	1.0	3063	tags=24%, list=17%, signal=29%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	48	-0.2732833	-0.9537805	0.5483871	0.93175805	1.0	5454	tags=33%, list=30%, signal=48%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	37	-0.28967753	-0.94054776	0.5581818	0.88646495	1.0	4341	tags=30%, list=24%, signal=39%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	31	-0.2821394	-0.88790035	0.64299804	0.98294723	1.0	1898	tags=13%, list=11%, signal=14%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	-0.23489717	-0.8215325	0.79962546	1.0	1.0	3513	tags=22%, list=19%, signal=27%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	-0.2572633	-0.8170758	0.7712177	1.0	1.0	3009	tags=23%, list=17%, signal=27%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	90	-0.2047015	-0.7933989	0.88909775	0.9667412	1.0	1436	tags=8%, list=8%, signal=8%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	-0.22367959	-0.7142156	0.9025845	0.9709873	1.0	5019	tags=43%, list=28%, signal=60%	
