NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	0.70878816	2.9694624	0.0	0.0	0.0	1922	tags=46%, list=11%, signal=51%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	0.7614125	2.6303835	0.0	0.0	0.0	3309	tags=72%, list=18%, signal=88%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	173	0.629608	2.6299803	0.0	0.0	0.0	2851	tags=49%, list=16%, signal=57%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	0.619284	2.5806193	0.0	0.0	0.0	3482	tags=52%, list=19%, signal=64%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	140	0.53933454	2.222684	0.0	0.0	0.0	2606	tags=34%, list=15%, signal=40%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	0.51895773	2.1975017	0.0	0.0	0.0	4108	tags=42%, list=23%, signal=54%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	170	0.46773544	1.9744323	0.0	0.0	0.0	3930	tags=41%, list=22%, signal=52%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	0.5487181	1.7767925	0.0	0.002057455	0.011	2152	tags=35%, list=12%, signal=40%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	169	0.41907194	1.7532694	0.0	0.001828849	0.011	2754	tags=30%, list=15%, signal=35%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	88	0.4531812	1.7284222	0.0019880715	0.0022215182	0.015	3067	tags=33%, list=17%, signal=40%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	0.43357623	1.6955036	0.0	0.003879489	0.027	3889	tags=35%, list=22%, signal=45%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	147	0.3990926	1.6645434	0.0	0.0054848916	0.041	1968	tags=20%, list=11%, signal=22%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	132	0.39558986	1.6040034	0.0	0.011626602	0.095	2118	tags=23%, list=12%, signal=26%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	156	0.38046488	1.5924467	0.0	0.011405961	0.101	2941	tags=27%, list=16%, signal=32%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	164	0.37748381	1.579228	0.0018975332	0.011911271	0.113	1479	tags=19%, list=8%, signal=20%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	174	0.36404663	1.5280805	0.0019157088	0.018381475	0.18	3590	tags=32%, list=20%, signal=39%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	124	0.37648425	1.5084354	0.0019646366	0.021548176	0.216	3020	tags=27%, list=17%, signal=32%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	30	0.46445292	1.4221449	0.055084746	0.045036454	0.414	4247	tags=47%, list=24%, signal=61%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	166	0.33367693	1.3999549	0.008281574	0.052364964	0.481	2749	tags=24%, list=15%, signal=28%	
