NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	0.6073312	2.709146	0.0	0.0	0.0	4026	tags=56%, list=22%, signal=72%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	0.6065701	2.512051	0.0	0.0	0.0	1932	tags=40%, list=11%, signal=45%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	91	0.61188793	2.4549913	0.0	0.0	0.0	4512	tags=64%, list=25%, signal=85%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	156	0.54400724	2.386559	0.0	0.0	0.0	3579	tags=42%, list=20%, signal=52%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	0.5388498	2.3728087	0.0	0.0	0.0	3661	tags=47%, list=20%, signal=58%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	0.53247637	2.363016	0.0	0.0	0.0	5552	tags=62%, list=31%, signal=89%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	134	0.54239917	2.3111207	0.0	0.0	0.0	3106	tags=45%, list=17%, signal=54%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	48	0.6285715	2.2558281	0.0	0.0	0.0	4285	tags=58%, list=24%, signal=76%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	165	0.50424933	2.2273064	0.0	0.0	0.0	3772	tags=42%, list=21%, signal=52%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	133	0.5064082	2.1930046	0.0	0.0	0.0	5012	tags=56%, list=28%, signal=77%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	174	0.4812411	2.1467018	0.0	0.0	0.0	3812	tags=43%, list=21%, signal=54%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	0.5558275	2.0835352	0.0	0.0	0.0	2665	tags=43%, list=15%, signal=51%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	146	0.47188702	2.072741	0.0	0.0	0.0	3021	tags=35%, list=17%, signal=42%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	170	0.4685314	2.0699086	0.0	0.0	0.0	4171	tags=46%, list=23%, signal=59%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	0.54488266	2.0295272	0.0	0.0	0.0	4207	tags=57%, list=23%, signal=74%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	90	0.49312595	2.020652	0.0	1.9166667E-4	0.001	4535	tags=46%, list=25%, signal=61%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	168	0.43566656	1.9439673	0.0	3.8853695E-4	0.002	2794	tags=32%, list=15%, signal=38%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	135	0.44307324	1.9021579	0.0	5.014545E-4	0.003	4039	tags=41%, list=22%, signal=52%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	124	0.44398007	1.884797	0.0	5.961148E-4	0.004	4021	tags=44%, list=22%, signal=56%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	173	0.41124555	1.8161237	0.0	0.0011580725	0.008	5051	tags=53%, list=28%, signal=73%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	0.5624552	1.8144821	0.0024271845	0.0011029261	0.008	2449	tags=34%, list=14%, signal=40%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		146	0.4148463	1.8047471	0.0	0.0010527931	0.008	4858	tags=47%, list=27%, signal=64%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		156	0.40301782	1.7873203	0.0	0.0013037228	0.01	3641	tags=34%, list=20%, signal=42%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	0.50868493	1.7433167	0.004830918	0.0017480121	0.015	2841	tags=32%, list=16%, signal=38%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.42355126	1.7090209	0.0	0.0022337427	0.02	3248	tags=42%, list=18%, signal=51%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	0.47121033	1.6969866	0.0026809652	0.0023673205	0.022	5223	tags=50%, list=29%, signal=70%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		157	0.3872032	1.6914135	0.0	0.0023648273	0.023	4400	tags=42%, list=24%, signal=55%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		69	0.43890622	1.6870534	0.0	0.0022803692	0.023	2778	tags=32%, list=15%, signal=38%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		110	0.39313117	1.6478558	0.0	0.003274754	0.035	3969	tags=40%, list=22%, signal=51%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		165	0.36033764	1.589068	0.0	0.0058890367	0.064	3601	tags=31%, list=20%, signal=38%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		153	0.3610451	1.5798302	0.0030864198	0.0062229196	0.068	4039	tags=40%, list=22%, signal=51%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		177	0.3341374	1.4933832	0.007067138	0.01395092	0.16	2955	tags=26%, list=16%, signal=31%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	0.3468831	1.4761536	0.006535948	0.016020544	0.183	3379	tags=29%, list=19%, signal=35%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		161	0.33109757	1.4516748	0.0066225166	0.019526213	0.225	4870	tags=41%, list=27%, signal=56%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	0.43867365	1.4456409	0.05596107	0.02047893	0.242	1842	tags=26%, list=10%, signal=29%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.32064128	1.4234544	0.0031948881	0.02483713	0.287	3300	tags=29%, list=18%, signal=35%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		140	0.32872432	1.414754	0.01010101	0.025691267	0.302	3055	tags=28%, list=17%, signal=33%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		91	0.34566218	1.4063059	0.021680217	0.027125154	0.32	5334	tags=51%, list=30%, signal=71%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	0.31802857	1.2956591	0.051679585	0.066979446	0.616	5334	tags=52%, list=30%, signal=74%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		123	0.29386324	1.2419245	0.08682635	0.09982462	0.756	2824	tags=21%, list=16%, signal=25%	
