NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	0.5411545	1.694942	0.0061443932	0.0143606225	0.044	1747	tags=26%, list=10%, signal=28%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	168	0.27235588	1.0728647	0.32639793	1.0	1.0	2199	tags=14%, list=12%, signal=16%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	0.258034	1.0146732	0.42783505	1.0	1.0	6643	tags=43%, list=37%, signal=67%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	153	0.25047457	0.9795853	0.5065274	1.0	1.0	3042	tags=16%, list=17%, signal=19%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	177	0.23678787	0.93894184	0.6040609	1.0	1.0	2744	tags=15%, list=15%, signal=17%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	0.24698804	0.91285455	0.6323944	1.0	1.0	880	tags=7%, list=5%, signal=8%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	123	0.2255127	0.8562364	0.76703	1.0	1.0	3807	tags=25%, list=21%, signal=32%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	0.23717543	0.8101035	0.8148148	1.0	1.0	4858	tags=25%, list=27%, signal=34%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	38	0.23964909	0.75228876	0.8384	1.0	1.0	1370	tags=13%, list=8%, signal=14%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	67	0.20432608	0.7098133	0.94158554	1.0	1.0	2472	tags=12%, list=14%, signal=14%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	31	0.22034416	0.64998573	0.94375	1.0	1.0	4935	tags=32%, list=27%, signal=44%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	164	0.15890089	0.62827206	0.998713	0.99280584	1.0	1854	tags=8%, list=10%, signal=9%	
