NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	95	0.4753566	1.8695475	0.0	0.003920635	0.004	3098	tags=34%, list=17%, signal=40%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	91	0.41401497	1.6261517	0.0	0.023577953	0.04	4194	tags=45%, list=23%, signal=58%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	0.43588483	1.4353803	0.044973545	0.087618105	0.219	2851	tags=27%, list=16%, signal=32%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	146	0.32529682	1.359595	0.02264151	0.124942414	0.383	2629	tags=22%, list=15%, signal=25%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	133	0.32165867	1.3418928	0.026666667	0.11748389	0.424	3636	tags=29%, list=20%, signal=36%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	180	0.29898748	1.2899251	0.026086956	0.15749879	0.589	5232	tags=32%, list=29%, signal=45%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	155	0.258281	1.1038182	0.19157088	0.5318441	0.973	2568	tags=19%, list=14%, signal=22%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	124	0.26539543	1.084626	0.25429553	0.5326832	0.985	1586	tags=15%, list=9%, signal=16%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	48	0.304	1.0569726	0.34604105	0.5673739	0.995	4679	tags=38%, list=26%, signal=50%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	91	0.25656062	1.008659	0.41853034	0.6763904	1.0	3132	tags=23%, list=17%, signal=28%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	165	0.22902653	0.9729267	0.564	0.75415266	1.0	2851	tags=16%, list=16%, signal=19%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	160	0.21131836	0.8795857	0.824	1.0	1.0	3801	tags=22%, list=21%, signal=27%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	89	0.20506288	0.797873	0.9268293	1.0	1.0	3074	tags=24%, list=17%, signal=28%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	133	0.1926596	0.7885298	0.9444444	1.0	1.0	1772	tags=10%, list=10%, signal=11%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	156	0.18629912	0.7811137	0.96837944	0.99655455	1.0	2666	tags=13%, list=15%, signal=15%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	0.16658503	0.7017576	1.0	0.9817259	1.0	3180	tags=13%, list=18%, signal=16%	
