NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	48	0.6617536	2.2078097	0.0	0.0	0.0	3377	tags=52%, list=19%, signal=64%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	154	0.51313674	2.082983	0.0	0.0	0.0	3064	tags=36%, list=17%, signal=43%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	0.5887044	2.080605	0.0	0.0	0.0	2150	tags=33%, list=12%, signal=38%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	154	0.47157276	1.9002677	0.0	3.977273E-4	0.001	4175	tags=37%, list=23%, signal=48%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	133	0.46650115	1.841976	0.0	0.0012791954	0.004	3049	tags=32%, list=17%, signal=39%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	91	0.4783581	1.8031478	0.0	0.0022098236	0.008	5638	tags=57%, list=31%, signal=83%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	166	0.4267637	1.7564688	0.0	0.0028070135	0.012	2505	tags=27%, list=14%, signal=31%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	156	0.4288824	1.755857	0.0	0.0024561367	0.012	3363	tags=38%, list=19%, signal=47%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	0.5192201	1.6353046	0.0065789474	0.00938473	0.051	1815	tags=26%, list=10%, signal=29%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	148	0.4015997	1.627262	0.0048076925	0.009202152	0.056	3709	tags=39%, list=21%, signal=49%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	95	0.42358354	1.5937977	0.0	0.011975504	0.079	4408	tags=41%, list=24%, signal=54%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	132	0.39734074	1.5915143	0.0	0.010977546	0.079	2356	tags=20%, list=13%, signal=22%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	0.45002905	1.5787287	0.002105263	0.011007541	0.085	2563	tags=33%, list=14%, signal=39%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	146	0.37991908	1.5351944	0.0	0.015901204	0.128	3092	tags=26%, list=17%, signal=31%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	171	0.36180106	1.5041597	0.0024213076	0.020199575	0.169	3014	tags=26%, list=17%, signal=31%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	176	0.3503684	1.4625797	0.004842615	0.027136603	0.235	3065	tags=28%, list=17%, signal=33%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	159	0.32780635	1.346546	0.014492754	0.073811814	0.53	2916	tags=28%, list=16%, signal=33%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	164	0.32892853	1.3398954	0.016241299	0.07365295	0.554	2605	tags=21%, list=14%, signal=25%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	31	0.434778	1.3249671	0.116564415	0.08021999	0.609	2275	tags=23%, list=13%, signal=26%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	170	0.31907395	1.3129351	0.021028038	0.08364746	0.647	2330	tags=19%, list=13%, signal=21%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.34581447	1.2846546	0.07013575	0.10235573	0.739	2606	tags=24%, list=14%, signal=28%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		109	0.31920063	1.2304679	0.083129585	0.15180287	0.886	4747	tags=28%, list=26%, signal=37%	
