NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	134	0.61845016	2.4535499	0.0	0.0	0.0	3689	tags=53%, list=20%, signal=66%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	146	0.59045607	2.3792853	0.0	0.0	0.0	3946	tags=49%, list=22%, signal=62%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	156	0.57896787	2.3234887	0.0	0.0	0.0	3129	tags=44%, list=17%, signal=52%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	140	0.54958916	2.1672337	0.0	0.0	0.0	4361	tags=55%, list=24%, signal=72%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	171	0.51534617	2.101555	0.0	0.0	0.0	5746	tags=56%, list=32%, signal=81%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	69	0.5911093	2.0900946	0.0	0.0	0.0	3363	tags=46%, list=19%, signal=57%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	170	0.51617616	2.0878334	0.0	0.0	0.0	5596	tags=53%, list=31%, signal=76%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	0.5975409	2.0784056	0.0	0.0	0.0	2331	tags=42%, list=13%, signal=48%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	0.60799986	2.0443144	0.0	0.0	0.0	3754	tags=55%, list=21%, signal=69%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	154	0.49586242	2.0046985	0.0	0.0	0.0	3173	tags=36%, list=17%, signal=43%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	110	0.51733637	1.996784	0.0	0.0	0.0	3104	tags=32%, list=17%, signal=38%	
