NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	-0.531367	-2.0178666	0.0	9.18919E-4	0.001	3669	tags=41%, list=20%, signal=50%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	-0.47583586	-1.8176582	0.0	0.002429826	0.005	5992	tags=53%, list=33%, signal=78%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	-0.5411822	-1.6768776	0.0031948881	0.011367863	0.036	3795	tags=43%, list=21%, signal=54%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	132	-0.44110292	-1.6354111	0.0	0.015092182	0.06	5170	tags=49%, list=29%, signal=68%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	-0.50460744	-1.6179734	0.00155521	0.014574969	0.072	4903	tags=42%, list=27%, signal=57%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	139	-0.408233	-1.5353359	0.0027137042	0.03311597	0.187	5367	tags=40%, list=30%, signal=57%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	134	-0.35818735	-1.3326573	0.032742154	0.22426172	0.812	5140	tags=37%, list=28%, signal=52%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	69	-0.3714129	-1.2504623	0.1091703	0.41015202	0.971	6772	tags=55%, list=37%, signal=88%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	172	-0.3093933	-1.1901234	0.129506	0.5756074	0.996	6393	tags=44%, list=35%, signal=67%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	156	-0.30738157	-1.1798943	0.12516823	0.55643064	0.997	5739	tags=33%, list=32%, signal=48%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	172	-0.30481872	-1.1636268	0.15512465	0.5660176	1.0	3016	tags=20%, list=17%, signal=24%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	-0.35348168	-1.1585875	0.20895523	0.5378179	1.0	3499	tags=28%, list=19%, signal=35%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	-0.29366824	-1.1285338	0.22164276	0.6025897	1.0	5532	tags=38%, list=31%, signal=55%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	-0.31270468	-1.114803	0.26811594	0.6086605	1.0	4425	tags=36%, list=25%, signal=48%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	170	-0.2924381	-1.1083773	0.25606468	0.5908496	1.0	4952	tags=29%, list=27%, signal=40%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	146	-0.29243618	-1.0998285	0.26308724	0.58272743	1.0	5578	tags=34%, list=31%, signal=49%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	-0.32831627	-1.0769912	0.33080426	0.6214907	1.0	4513	tags=32%, list=25%, signal=42%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	31	-0.35341114	-1.0392954	0.4046875	0.71842	1.0	1070	tags=10%, list=6%, signal=10%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	151	-0.27313852	-1.0241092	0.41269842	0.73588854	1.0	4097	tags=26%, list=23%, signal=33%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	111	-0.27000648	-0.9782737	0.5201729	0.86187935	1.0	4367	tags=28%, list=24%, signal=37%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		38	-0.31987092	-0.9638394	0.51724136	0.8715354	1.0	4843	tags=39%, list=27%, signal=54%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	-0.2561261	-0.9013736	0.6586402	1.0	1.0	3674	tags=22%, list=20%, signal=28%	
