NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	-0.6763204	-2.7598174	0.0	0.0	0.0	3715	tags=66%, list=20%, signal=82%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	-0.6471357	-2.650428	0.0	0.0	0.0	3454	tags=58%, list=19%, signal=70%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	134	-0.66174626	-2.6355405	0.0	0.0	0.0	3285	tags=49%, list=18%, signal=59%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	-0.6272376	-2.5512538	0.0	0.0	0.0	3851	tags=66%, list=21%, signal=83%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	146	-0.6005771	-2.4098632	0.0	0.0	0.0	1990	tags=29%, list=11%, signal=32%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	156	-0.59022444	-2.3710592	0.0	0.0	0.0	2485	tags=36%, list=14%, signal=41%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	-0.61980206	-2.3303764	0.0	0.0	0.0	3620	tags=61%, list=20%, signal=75%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	-0.6442894	-2.2713118	0.0	0.0	0.0	2484	tags=52%, list=14%, signal=60%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	69	-0.61681086	-2.2107337	0.0	0.0	0.0	2974	tags=41%, list=16%, signal=48%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	-0.6322554	-2.202799	0.0	0.0	0.0	3496	tags=48%, list=19%, signal=60%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	171	-0.53045577	-2.1797447	0.0	0.0	0.0	3880	tags=40%, list=21%, signal=51%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	-0.63326246	-2.1576953	0.0	0.0	0.0	4283	tags=58%, list=23%, signal=76%	
