NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	0.6737525	2.9568067	0.0	0.0	0.0	3386	tags=62%, list=19%, signal=76%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	133	0.6609	2.7535117	0.0	0.0	0.0	1867	tags=32%, list=10%, signal=36%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	0.6101701	2.6206496	0.0	0.0	0.0	3175	tags=58%, list=17%, signal=70%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	0.65556014	2.3973477	0.0	0.0	0.0	1884	tags=33%, list=10%, signal=37%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	0.54271436	2.348848	0.0	0.0	0.0	3472	tags=52%, list=19%, signal=63%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	0.5396618	2.328971	0.0	0.0	0.0	3800	tags=57%, list=21%, signal=71%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	0.66185385	2.3230276	0.0	0.0	0.0	3005	tags=52%, list=17%, signal=62%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	173	0.5017541	2.2012413	0.0	0.0	0.0	3087	tags=42%, list=17%, signal=50%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	135	0.48372003	2.0845969	0.0	5.138889E-4	0.001	1513	tags=24%, list=8%, signal=26%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	155	0.47524723	2.0807362	0.0	4.6250003E-4	0.001	1075	tags=18%, list=6%, signal=19%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	0.55231565	2.0129316	0.0	4.2045457E-4	0.001	2145	tags=35%, list=12%, signal=40%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	0.5808186	2.0108967	0.0	3.854167E-4	0.001	3352	tags=55%, list=18%, signal=67%	
