"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MEP1A",1033.48857841806,-7.86876452763925,1.06983870168072,-7.35509429157629,1.90792388773227e-13,1.58586633548306e-09
"SLC7A9",1235.35376513092,-6.74201662847698,0.915979310163161,-7.36044641365976,1.83296205183972e-13,1.58586633548306e-09
"MGAM",2010.02965285376,-5.97901981608018,0.900427032264851,-6.64020470491773,3.13247802861649e-11,1.65520521912882e-07
"SLC34A2",230.961965457271,-8.20056177818202,1.24162137496069,-6.60472020179392,3.98268820772093e-11,1.65520521912882e-07
"FREM2",15.042274518825,-6.42981178476866,1.00249284697867,-6.41382310521906,1.4191486990418e-10,4.71838559457416e-07
"HNF4beta",114.468483874859,-5.10867192598927,0.803004214218204,-6.36194908511535,1.99209483184721e-10,5.51943074743801e-07
"SLC15A1",331.190346216029,-6.23972174422102,0.992407062036615,-6.2874620535407,3.22697853569588e-10,7.66361302534405e-07
"PCDH11X",14.533263520207,-2.9040213654069,0.473571602102066,-6.13216956531318,8.66886328169781e-10,1.8013897899368e-06
"LOC100858256",44.6924430092958,-4.48437609296598,0.73789090501374,-6.07728874620359,1.22231549697433e-09,2.25775253574459e-06
"PLACL2",4687.5541157734,1.83515183444012,0.304761568338199,6.02159860394084,1.72702758961652e-09,2.8710106649785e-06
"FCGBP",10638.389720057,1.70498827004839,0.291030179966525,5.85845863217521,4.67182953746846e-09,6.0639487250077e-06
"S100A10",2056.62414224927,1.37571559594619,0.234819827522745,5.85860065761668,4.66783654620492e-09,6.0639487250077e-06
"SLC6A19",834.204900111875,-6.61829538797967,1.13017702739573,-5.85598116715416,4.74201957561959e-09,6.0639487250077e-06
"MYO7A",16.8527262072445,-5.69445826125469,0.98123487348428,-5.8033590276242,6.49994040765125e-09,7.71821495262817e-06
"RSAD2",1558.35681916478,3.02565077912787,0.527271801809175,5.73831327362141,9.56241141557681e-09,1.05977018248366e-05
"LOC101747667",42.2578823781002,-3.50878643470299,0.613375446757853,-5.72045466320758,1.06239374496287e-08,1.10382710101643e-05
"SLC10A2",180.864063767314,-4.44067064330017,0.77999717782014,-5.69318809038582,1.24688894789936e-08,1.21931069822818e-05
"LOC422993",14924.4701183867,1.70540616042317,0.304116946278781,5.60773143782602,2.0499579089757e-08,1.79360527783221e-05
"SLC13A2",260.210318293068,-5.35353177126139,0.954392615863856,-5.60936000789959,2.03076189660229e-08,1.79360527783221e-05
"ENPEP",918.447285191621,-7.47834820186083,1.34965693346724,-5.54092526509617,3.00877613728865e-08,2.50089472531432e-05
"CDKN1A",865.858700025793,1.32135442030697,0.24004618193019,5.50458419993219,3.70040575919202e-08,2.92931168289563e-05
"SI",248.764211346024,-3.93298319055848,0.716665783699793,-5.48789028304718,4.06762572117359e-08,3.07364590858135e-05
"SLC16A9",405.052582812947,-2.49053853599301,0.456083597699873,-5.46070621384618,4.74244275437109e-08,3.28493201452771e-05
"STC2",134.246185801362,-3.39174574341907,0.620287177926386,-5.46802491510085,4.55077926484639e-08,3.28493201452771e-05
"SH2D4A",83.9407921333514,-3.13140523054018,0.576365551224079,-5.43301941604549,5.54083760547075e-08,3.54272632128253e-05
"SLC5A11",133.808283061161,-7.61516629008624,1.40579256828787,-5.41699142666607,6.0610245785973e-08,3.73179528128154e-05
"LPAR3",57.9010434703652,-1.44925448053295,0.269062774274013,-5.38630616756009,7.1920411207982e-08,4.27001755686247e-05
"ATF3",450.876232615216,1.53927523931658,0.286363753873449,5.3752446617138,7.64787616690733e-08,4.38407908271267e-05
"PDZK1P1",58.9232751216684,-1.94610494621261,0.36368348695152,-5.35109515838984,8.74235327941895e-08,4.84442936390202e-05
"TRANK1",1862.30957950348,1.69002684334196,0.317178131830278,5.32832081956485,9.91249200874459e-08,5.14953959854282e-05
"SCNN1A",4063.73081693726,1.79733931604231,0.338065825664146,5.31653654287994,1.05760990291734e-07,5.32779000790843e-05
"CPO",71.1074404787422,-5.97979858731194,1.12677497444886,-5.30700337060366,1.11442118017399e-07,5.44886402918012e-05
"HIST1H2BO",183.900191027967,1.51996556599629,0.288181692605699,5.27433076075366,1.33241410258436e-07,6.32858629753212e-05
"ACE",605.781081133972,-3.63801559191337,0.693048122576462,-5.24929723262037,1.52680553010474e-07,6.44207576320854e-05
"CYBRD1",351.067116966458,-2.68387282519019,0.511998184741367,-5.24195769667803,1.58881801185966e-07,6.44207576320854e-05
"GPRC5A",5597.68414029946,2.00767403302667,0.38271630794176,5.24585441321771,1.55559708539687e-07,6.44207576320854e-05
"LOC396365",258.84313407649,1.88608048343772,0.358278918421813,5.26427982909443,1.40739948132499e-07,6.44207576320854e-05
"MAMDC4",90.4174091112154,-3.30352132225768,0.630109411516991,-5.24277413077268,1.58180129264542e-07,6.44207576320854e-05
"SLC38A4",3929.82882964844,1.77287541838627,0.337090693032946,5.25934253015107,1.4457137113371e-07,6.44207576320854e-05
"HEY2",69.2976158177604,-1.8160143893839,0.346827379030626,-5.2360756364149,1.64026756072767e-07,6.4923352213183e-05
"SMIM24",988.489568514671,-2.5085930709577,0.479729591058407,-5.22918143411394,1.70262211168667e-07,6.5824162755068e-05
"LYG2",470.655023614571,2.85932267258582,0.551538952928496,5.18426243042986,2.16871387129511e-07,8.19379531736588e-05
"ACE2",922.675665881755,-5.26570296125206,1.01783047350842,-5.17345775972043,2.29801092029274e-07,8.48936300865479e-05
"HOXA9",825.110772770735,-1.07078899240893,0.210316184800544,-5.09132948291367,3.55561547142695e-07,0.000123142815827087
"MX1",1815.1302092676,1.8048873320277,0.354809223948178,5.08692336671416,3.63918794284709e-07,0.000123465021146714
