"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ETNPPL",64.1259099512834,-4.34756286002543,0.408573410660446,-10.6408364974063,1.92394256764582e-26,3.2957136183773e-22
"BATF3",717.493311955823,2.29932121174487,0.273904755094541,8.39460129471366,4.67477845626102e-17,4.00394774778757e-13
"PM20D2",260.502770608799,-1.52719751831414,0.199710278084197,-7.64706520347582,2.05618077982814e-14,1.17407922528187e-10
"SLC13A3",23.4281897914254,-3.89130167666761,0.523666880812411,-7.43087221905401,1.07883894398363e-13,4.62012777760991e-10
"LOC121107465",16.655814873796,-1.71780406711803,0.257926749083012,-6.66004620779045,2.7374150698303e-11,9.3783840292386e-08
"LOC112533405",11.4157676328912,5.38832394947566,0.819975777589995,6.57132088134673,4.98708541305949e-11,1.42381288542848e-07
"BCL2L10",1528.81608003075,1.11743160062294,0.171034375979641,6.53337432444546,6.43041557233236e-11,1.54586882490195e-07
"SUCNR1",202.670486118295,-2.28385425960086,0.350498052505934,-6.51602553358608,7.21946911804765e-11,1.54586882490195e-07
"NEURL1B",3988.44589458025,2.01524918423867,0.313834985263376,6.42136561845529,1.35057208446767e-10,2.5705888674368e-07
"CRCP",414.914671917725,-1.42792722330532,0.224759012925898,-6.35314777688627,2.10952879361241e-10,3.61362282345805e-07
"ASIC4",14.2634705290911,-2.51749961977483,0.399090007868663,-6.30809985251075,2.824819581662e-10,4.09966567952226e-07
"IFI27L2",7785.76486421735,2.16673277579937,0.343623701246656,6.30553936744915,2.87191991560228e-10,4.09966567952226e-07
"LOC420368",2260.84846714838,1.82539701620608,0.292041188046332,6.25047798366194,4.09198416721977e-10,5.3919760603442e-07
"SOCS3",989.212834291852,2.23801975491815,0.362255382889432,6.17801656131977,6.49119069711164e-10,7.94243547439446e-07
"LOC101749758",40.6167906446433,-1.94094359078383,0.316375247849572,-6.1349413520071,8.5190616226674e-10,9.72876837308617e-07
"GIMAP6",2635.40187748827,1.20811841586823,0.198447756602267,6.08784113538537,1.14443343444942e-09,1.15318498424226e-06
"J6367_mgp09",1427.98271976061,-3.72405215897561,0.611693207818714,-6.08810448011268,1.14255304900454e-09,1.15318498424226e-06
"PLCXD3",70.4473410754516,-2.09814265440004,0.345891083851251,-6.06590557651477,1.31212205341252e-09,1.24870282083092e-06
"IFI6",18361.7919502205,2.42525316478533,0.401096898439482,6.04655177893693,1.479786895305e-09,1.33414471139866e-06
"KRT13",11.5279906129814,6.3893224724113,1.05914993962324,6.03250043585339,1.61441907919754e-09,1.38274994133269e-06
"SERPINB5",307.711345568721,3.05012606075168,0.507473283283247,6.01041702337116,1.8504670252541e-09,1.50945238774299e-06
"SERPING1",2319.11009966251,1.76716836506947,0.295882519939337,5.97253384698691,2.33596660810753e-09,1.81886854531282e-06
"NTS",5827.38570227278,-2.1112956768338,0.358908626824706,-5.88254368671103,4.04008650845123e-09,2.90391105970759e-06
"ABCC13",243.346805254044,-1.16075934760433,0.200390128036533,-5.79249765932934,6.93472927937255e-09,4.75167650222607e-06
"APOA2",17.7042520565645,4.55397368340916,0.794118433818555,5.73462784576246,9.772668696385e-09,6.43868518342596e-06
"PTAFR",83.5302449136043,1.06540239531693,0.187075938398694,5.69502633228201,1.23352881691714e-08,7.8260550495521e-06
"ULK2",518.806706823843,-1.10522192652974,0.19479258914633,-5.67383970495656,1.39631796255238e-08,8.47409022996984e-06
"REG4",2169.08779179023,2.698656394446,0.480323641234412,5.6184125926231,1.92719847316332e-08,1.10043032817625e-05
"GIMAP1-GIMAP5",2637.36968367066,1.33550595304779,0.240066690288133,5.56306229508512,2.65081207891875e-08,1.26103523466079e-05
"GVINP1",1149.85564434375,1.79402102076013,0.322295272526438,5.56638949959457,2.6007157103385e-08,1.26103523466079e-05
"J6367_mgp05",4758.83477027834,-2.92837025104948,0.526187156691153,-5.56526364015437,2.61756359252276e-08,1.26103523466079e-05
"TGM4",791.342182413319,3.52202628526315,0.631897863116812,5.57372716516383,2.49346141724457e-08,1.26103523466079e-05
"TNFRSF6B",421.83282231807,1.40190753451473,0.252952370704763,5.54217986021956,2.98729227961922e-08,1.34663991447045e-05
"LY6E",6816.61412895803,2.52316324507929,0.459586374668155,5.49007408433538,4.01765188752112e-08,1.76467632905735e-05
"CAND2",271.728666446547,-1.05242054234536,0.193816626099878,-5.42998071694338,5.6360141344891e-08,2.35475419814142e-05
"LOC418421",186.38384808586,-2.75219056694512,0.507316253097351,-5.42499979084445,5.79546079000052e-08,2.36372007935021e-05
"MMP7",57.3640520485542,4.18911483621513,0.776454781939877,5.39518196507096,6.84541425253815e-08,2.71335810672714e-05
"GPX2",824.52197309244,2.07596476685694,0.386609631536281,5.36966644780065,7.88824025565709e-08,3.0027901239868e-05
"ADH1C",158.672138241996,-2.64529390612478,0.493074577191331,-5.3648961607248,8.09958019927343e-08,3.01621323507726e-05
"SPP1",35.9415944058261,4.223670438651,0.789089168701681,5.3525895503044,8.67043697181524e-08,3.16009756015309e-05
"KRT24",36.4628909129045,4.87693976319762,0.913926142516399,5.33625151565255,9.48877567479411e-08,3.31719851651476e-05
"LOC101750426",11.6407555711218,-2.90828145752169,0.546211071811127,-5.32446449296316,1.01250876703586e-07,3.46885503586487e-05
"SCG5",125.206206734996,-1.40648434087538,0.265440569241362,-5.29867889032622,1.16643561017232e-07,3.91785137299056e-05
"LOC124417544",16.6109646835657,-2.07538293440748,0.393685841358799,-5.2716727816381,1.35185938424054e-07,4.45333677923854e-05
"C1R",916.984707924179,1.27374548950518,0.243598401258953,5.22887458588511,1.70545001459373e-07,5.43974116374918e-05
"RNF19B",1249.23219301776,1.15968816062545,0.221890875515455,5.22638958421106,1.72851961606942e-07,5.43974116374918e-05
"LOC101749423",135.551096948605,-2.03989757490416,0.391715920982144,-5.2075942427603,1.91304681838358e-07,5.74920912261591e-05
"OBSL1",10.8618392991075,-2.42104866651888,0.466337419710659,-5.19162427072876,2.08467372172359e-07,6.1569760091595e-05
"SCD",300.224293209417,2.81045517870415,0.542166183858564,5.18375225600074,2.17465759556158e-07,6.31387874779149e-05
"LOC121110055",2612.94880937914,1.68792989215999,0.326607198129622,5.16807315278485,2.36519739808662e-07,6.7526385715373e-05
"LOC121107017",69.6779154556644,1.426031455786,0.277117216503035,5.14595041687127,2.66169725829458e-07,7.47456951386659e-05
"ALKBH3",330.487168502668,-1.01901683757168,0.198752492900868,-5.12706443425561,2.94294817910016e-07,8.12863094285308e-05
"LOC101748371",133.066914570345,-1.50807175878727,0.294323897714153,-5.12385086803896,2.99357788091325e-07,8.12863094285308e-05
"RFLNA",243.22673165116,-2.13504394808735,0.416908075167029,-5.12113838819737,3.03696661028954e-07,8.12863094285308e-05
"FOS",874.126275539384,1.3296650650258,0.261783215688157,5.07926018683233,3.78907485518014e-07,9.98566957988242e-05
"CLDN3",2728.49409987421,1.39286241698963,0.274810611911348,5.06844480022829,4.01079259619869e-07,0.000103254261398894
"KLHL38",66.0700785747337,-1.36392773877843,0.269171561049977,-5.06713165929589,4.03854962856152e-07,0.000103254261398894
"ALDOC",4480.20269593549,1.36699087925088,0.271576806665225,5.03353322412389,4.81521316090882e-07,0.00011954290064691
"LOC101750929",9.83349643249999,-2.60418876948273,0.517322593080893,-5.03397455342825,4.80413471479382e-07,0.00011954290064691
"EHF",1499.39962881451,1.06550091961525,0.212581250182958,5.01220553881504,5.38096812386159e-07,0.000131679977088213
"IRF1",5037.51531772325,1.07306621312067,0.214299387263745,5.00732282449327,5.51923157576769e-07,0.000133161178722395
"LOC107053293",82.2968433535489,-2.86724436063519,0.573403304360991,-5.00039734481559,5.72122836067711e-07,0.00013611755808111
"NT5C1B",642.91916197074,1.35866771182344,0.272340865103654,4.98884995208605,6.07398002771376e-07,0.000142530517636626
"F3",121.13164294231,2.49922477732064,0.50379504649916,4.96079664674672,7.02046579279717e-07,0.000158237603987652
"LYGL",487.631103100078,2.64139439626578,0.532398938312547,4.96130665594066,7.00205455396053e-07,0.000158237603987652
"BICD1",23.1092356042307,-1.67662084502163,0.339437040424085,-4.93941628446588,7.83567742580001e-07,0.0001699052586126
"CDKN1A",540.281845243655,1.49174327462143,0.303350291448989,4.91756005077806,8.76295798569692e-07,0.000185320333697516
"LOC101747364",44.524162175838,-1.82839215102528,0.371768501480253,-4.91809323206581,8.73912903279399e-07,0.000185320333697516
"ART1L1",141.455948804435,3.0500011382739,0.620804344947262,4.91298291176264,8.9701097699002e-07,0.000187387780924866
"CLSTN2",31.444442711541,-1.55911217642441,0.317861921043489,-4.9049982813484,9.34281573562834e-07,0.000192822209097968
"BEND4",258.414460023671,1.5583391724748,0.318914176694541,4.8863904032946,1.02701454004165e-06,0.000206973636128393
"LOC121107791",1139.19904226419,1.43073060831386,0.293471393664411,4.87519614927077,1.08700391564429e-06,0.000211595194033941
"RYR3",109.542253982414,-1.45349231044932,0.299036291086829,-4.86058834252756,1.17037400695343e-06,0.000222761185990135
"DUSP4",289.816768716175,1.23312078041203,0.253916149415957,4.85640942196226,1.19533421639145e-06,0.000225011814580061
"NAALAD2",168.133491367034,-1.38786224834049,0.2863348403049,-4.84699049149114,1.25348432973774e-06,0.000230883726542016
"RECK",166.429060600689,-1.37105215808735,0.28363369833301,-4.83388316037685,1.33895191024844e-06,0.000244002619388892
"LOC771638",48.7651889337422,-1.25046672222813,0.258811817931395,-4.8315673226313,1.35462396336879e-06,0.000244260089394815
"LOC121108626",37.3715395380911,-1.82890382464387,0.378816077248366,-4.82794668570726,1.37948010814846e-06,0.00024615098179774
"GRIP2",35.0634002693835,-2.12860332550084,0.44246251608878,-4.81081051637318,1.50319473037874e-06,0.000260637508712413
"LOC107049632",455.666019257308,1.24916313784591,0.259679866248195,4.81039656979794,1.50631134632393e-06,0.000260637508712413
"LOC124417310",35.7392813403397,-1.67654764818204,0.348297235821547,-4.81355427420341,1.4826930899397e-06,0.000260637508712413
"LOC101752163",18.1601468625459,-1.89152628708058,0.393641630371044,-4.80519879286559,1.54597819721967e-06,0.000262204024934386
"PXDC1",158.340777263335,-1.065268809504,0.221654817753898,-4.80598085030918,1.53994639454057e-06,0.000262204024934386
"TAP1",4791.10102026502,1.43964445500889,0.300075063582932,4.79761442960092,1.60566482477709e-06,0.000269657239690506
"LOC121106615",61.1505867089255,-1.59057665814173,0.331954602048885,-4.79154874890843,1.65498796635297e-06,0.000275242173433266
"LOC121108625",7.48636516751962,2.79079638742778,0.583429260709515,4.78343575711965,1.72323984678281e-06,0.000283837486301822
"GABRA4",19.2816161670358,-1.96316576042374,0.413487549290816,-4.7478231540244,2.05617699161483e-06,0.000329180484732355
"LOC121106854",24.3171813328473,-2.17374027027836,0.458686024820326,-4.73905929689017,2.14712670921756e-06,0.00034055815304534
"SLC6A14",215.079450616106,1.83583665608034,0.388558635170027,4.72473518772015,2.30415412116103e-06,0.000358819637231714
"C2CD4C",49.9362248928419,-1.67415041551715,0.354782194133455,-4.71881183216144,2.37226118280541e-06,0.00035933295397846
"C4orf17",10.9483571022073,-2.41217996196518,0.511281174943231,-4.71791272626654,2.38276663273056e-06,0.00035933295397846
"CDH3",797.870894962082,1.86669080854016,0.399487306624023,4.6727161979567,2.97242362757981e-06,0.000427879132272624
