"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC121108210",10.0016260601918,21.6490181165207,2.95823696112585,7.31821635690789,2.51288491984549e-13,4.40182051409335e-09
"HIST1H2A4",11.7672056562778,-1.82074416197536,0.359601956050531,-5.06322096234513,4.12231587057354e-07,0.00240702023682789
"HNF4beta",102.647871242335,4.85348890854541,0.954742805695719,5.08355640869028,3.70432498271446e-07,0.00240702023682789
"LOC124417418",39.7743325328336,2.92795002930388,0.610425038620479,4.796575900492,1.61400817279652e-06,0.00705591937221137
"SLC7A9",398.705303970363,4.98503822715517,1.04903730038121,4.75201236919189,2.01402048644499e-06,0.00705591937221137
"CYP1A1",71.8816427063048,-1.95944680701588,0.429719055512079,-4.55983224826016,5.11944997962519e-06,0.0126876685030099
"FREM2",6.04920765352371,5.00034011465524,1.10291383185236,4.5337541068436,5.79444813747097e-06,0.0126876685030099
"SLC10A2",177.023781014735,4.31100313979682,0.939283278096771,4.5896730414833,4.43940840074736e-06,0.0126876685030099
"SLC15A1",328.15995170541,6.13074293470622,1.36258142733386,4.49935894598396,6.81586871770337e-06,0.01326595248089
"ACE2",763.289700628108,4.89044258092603,1.13031796210304,4.32660786158527,1.51423186696499e-05,0.02288367316805
"SLC13A2",324.275852715632,5.586437406534,1.29267776030522,4.32160092644818,1.54901168135905e-05,0.02288367316805
"SLC6A19",662.472197350441,6.18515218562654,1.45683677833243,4.24560409073856,2.18005272845008e-05,0.0293753720340462
"LOC121106462",74.7443528626632,-1.2294402847175,0.29411719452493,-4.1801033996103,2.91376575746323e-05,0.0319095555398771
"ENPEP",667.94022507568,6.91895891828808,1.68216173727654,4.11313535729925,3.90321366997425e-05,0.036466144927917
"NME1",24.524697249429,-1.14075563259826,0.277551179588015,-4.1100730837878,3.95533911988596e-05,0.036466144927917
"LOC112531211",101.627668035494,-1.43710536236784,0.353507326697842,-4.06527744641682,4.7975355631941e-05,0.0420192152302355
