"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_expression"
"Sphingobium sp. TomTYG64",55.1487371805193,-23.6496632310612,2.34183443014785,-10.0987768078754,5.59355035323476e-24,6.8431495021474e-20,"Downregulated"
"Brevibacillus sp. NSP2.1",25.6189965774585,20.8398767991929,2.45199680432291,8.49914517117309,1.90991927538014e-17,7.78865080500021e-14,"Upregulated"
"Pseudomonas savastanoi",19.5371774090255,18.6653547970404,2.19067478073388,8.52036777033031,1.59047460263967e-17,7.78865080500021e-14,"Upregulated"
"Flavobacterium sp. N502536",20.577372278048,18.8339648639519,2.3844044150809,7.89881311443255,2.81571683212698e-15,8.61186993106038e-12,"Upregulated"
"Chryseobacterium sp. PET-29",20.9772229815429,19.2041004196832,2.59618220771964,7.39705416768538,1.39238763151307e-13,3.40689405678619e-10,"Upregulated"
"Streptomyces sp. NBC_00987",211.46739791317,-25.4703537427794,3.52274171436958,-7.23026432476826,4.82054859599036e-13,9.82909858722434e-10,"Downregulated"
"Flavobacterium oreochromis",14.0913854919849,19.1231379620832,2.83930360578064,6.73515080358074,1.63759999592405e-11,2.86205690716212e-08,"Upregulated"
"Brevibacillus sp. JNUCC-41",51.4360864113762,21.9673837035904,3.27858981207612,6.70025375625745,2.08057923427272e-11,3.18172579401156e-08,"Upregulated"
"uncultured Fulvivirgaceae bacterium",16.8344381797822,21.7665675780783,3.43021219822639,6.3455454998769,2.21638677647083e-10,2.71152758233441e-07,"Upregulated"
"Chryseobacterium sp. LJ668",14.2029600929956,-20.1120015422428,3.1691241291682,-6.3462334457444,2.20650335627015e-10,2.71152758233441e-07,"Downregulated"
"Virgibacillus salarius",23.656887904207,21.0216886952733,3.32215940901935,6.32771824199686,2.48812926288402e-10,2.76725212746573e-07,"Upregulated"
"Prochlorococcus sp. MIT 0604",10.6955608110071,19.2287700926197,3.09248708708233,6.21789826477869,5.03858051721214e-10,5.13683283729778e-07,"Upregulated"
"Bacillus paramobilis",8.33638496121284,19.8265758695697,3.19578516132921,6.20397644669059,5.50540289800039e-10,5.18100761954898e-07,"Upregulated"
"Paenibacillus sp. FSL E2-0230",365.977719240121,25.3042783501569,4.11855967210194,6.14396302706539,8.04875849594615e-10,7.03346510281466e-07,"Upregulated"
"Moritella yayanosii",10.7498750829555,18.1671610463656,2.96291645523152,6.13151309558138,8.70471682832925e-10,7.09956704518534e-07,"Upregulated"
"uncultured bacterium Contig87",15.1379775125818,19.6849987255851,3.21675737239984,6.11951616074147,9.38599114735541e-10,7.17676348104663e-07,"Upregulated"
"Bacillus sp. HSf4",14.7920507335276,20.3583668491032,3.35026615546522,6.07664164708017,1.2272559958794e-09,8.35052980835006e-07,"Upregulated"
"Pseudomonas hunanensis",16.7528336247886,-24.4183839319014,4.01851914146394,-6.07646326228668,1.22862135483326e-09,8.35052980835006e-07,"Downregulated"
"Bacillus sp. FSL P2-0069",14.35787987153,20.5887899560957,3.45003807183886,5.96769934921963,2.40622216255957e-09,1.54935378614493e-06,"Upregulated"
"Pseudomonas sp. OE 28.3",11.850729247718,18.1854116884698,3.06773927427715,5.92795217017093,3.06735806095636e-09,1.87630292588701e-06,"Upregulated"
"Burkholderia sp. KBS0801",10.7447154545923,-22.4320512538406,3.80548510913238,-5.89466273301352,3.75447430319658e-09,2.18724945834795e-06,"Downregulated"
"Massilia sp. Dwa41.01b",18.7407845477137,21.3265285641477,3.66508556650727,5.81883510688983,5.925915680988e-09,3.29534783823669e-06,"Upregulated"
"Phytobacter sp. MRY16-398",28.3160293446983,18.6919879865145,3.31016874371475,5.64683840423735,1.63425308114658e-08,8.69280530206405e-06,"Upregulated"
"Burkholderia sp. IDO3",21.199159595371,18.2515148472237,3.3135153849182,5.50820283807865,3.62515557525574e-08,1.84792305448661e-05,"Upregulated"
"Olleya sp. YS",13.3424239932039,17.6661314371762,3.23714772000992,5.45731395820334,4.83391199267455e-08,2.2745415122454e-05,"Upregulated"
"Pseudomonas sp. Marseille-Q3773",12.3189842452749,19.5374866458549,3.57821339836787,5.46012338301751,4.75803800787112e-08,2.2745415122454e-05,"Upregulated"
"Acinetobacter sp. TAC-1",11.4544425934365,-20.1877785807461,3.72313902392721,-5.42224677913097,5.88545533676965e-08,2.57152359250142e-05,"Downregulated"
"Acinetobacter sp. SH20PTE14",11.6645929597856,19.4601148008947,3.58574665411887,5.42707465920417,5.72851707310252e-08,2.57152359250142e-05,"Upregulated"
"Lysinibacillus sp. FSL W7-1291",15.0721748859489,20.2859932746316,3.76591063820771,5.38674313426784,7.17458539996594e-08,3.02668544079943e-05,"Upregulated"
"Sphaerisporangium melleum",17.4417892522634,19.6774784295343,3.66529116552752,5.36859898460542,7.93506363507519e-08,3.23591895038366e-05,"Upregulated"
"Bacillus sp. 3a",11.6066064889874,19.4844110961852,3.63990043878502,5.35300660660077,8.65046895380092e-08,3.41386571550969e-05,"Upregulated"
