"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_expression"
"Pseudomonas sp. ATCC 43928",60.900470221894,-24.3274890958095,2.37737537532582,-10.2329187676033,1.41198393808404e-24,1.69395713051942e-20,"Downregulated"
"Microbacterium sp. J1-1",13.3009173476428,-23.0337717131785,2.37868484223453,-9.68340626896193,3.54697212781276e-22,2.12765123086849e-18,"Downregulated"
"Citrobacter sp. B72",28.7818786618913,-24.5258998734402,2.73458956884797,-8.96876816646841,2.99848939192093e-19,1.19909590782918e-15,"Downregulated"
"Pseudomonas savastanoi",19.5371774090255,19.1209211007583,2.19186571162023,8.723582379791,2.69535836994399e-18,8.0840535910545e-15,"Upregulated"
"Flavobacterium sp. N502536",20.577372278048,19.8093517235813,2.38400744932084,8.30926586627261,9.62959534594708e-17,2.31052510730654e-13,"Upregulated"
"Chryseobacterium sp. PET-29",20.9772229815429,20.4465599281787,2.59553363438114,7.87759390105297,3.33745356701651e-15,6.67323840724952e-12,"Upregulated"
"Delftia sp. HK171",14.8926330733987,-23.0325616920486,3.03385896590247,-7.59183665124564,3.15402477760616e-14,5.40554789384873e-11,"Downregulated"
"Brevibacillus sp. NSP2.1",25.6189965774585,18.4464626303103,2.45589812571731,7.51108624463912,5.86387430384606e-14,8.79361250290514e-11,"Upregulated"
"Flavobacterium oreochromis",14.0913854919849,20.4516228277023,2.83857583151724,7.2048886630486,5.80912958768859e-13,7.74356974038889e-10,"Upregulated"
"Streptomyces sp. NBC_00879",10.8958811700904,-23.055559114701,3.20767836363012,-7.1876156213521,6.59325633405661e-13,7.90992962396772e-10,"Downregulated"
"Enterobacter sp. R4-368",15.688815918892,-22.3370656389597,3.17455478208216,-7.0362829348653,1.9743583365422e-12,2.15330699668153e-09,"Downregulated"
"Pseudoalteromonas distincta",14.3996327579549,-23.3843173755021,3.34751974450015,-6.98556518267641,2.83711499120676e-12,2.83640571245896e-09,"Downregulated"
"Streptomyces sp. G7(2002)",12.1062028373365,-22.5670810467158,3.2879593321369,-6.86355236396708,6.7168886944042e-12,6.19865489744363e-09,"Downregulated"
"Microbacterium neungamense",25.3037292509631,-23.9527692931665,3.50809845381631,-6.82784979056369,8.61967668512597e-12,7.38644722796116e-09,"Downregulated"
"Brevibacillus sp. JNUCC-41",51.4360864113762,22.0763749590609,3.27876698941502,6.73313322670719,1.66047889563858e-11,1.32805102073173e-08,"Upregulated"
"Obesumbacterium proteus",30.7931792547089,-17.7907025221195,2.65785927671882,-6.69362094447772,2.17714931060487e-11,1.63245376745791e-08,"Downregulated"
"Burkholderia sp. IDO3",21.199159595371,21.9275248572971,3.31028955465887,6.62405040261102,3.49487509558408e-11,2.46635391304248e-08,"Upregulated"
"Phytobacter sp. MRY16-398",28.3160293446983,21.3142872994192,3.30783682910406,6.44357276389364,1.16693283296371e-10,7.77760733170313e-08,"Upregulated"
"Pseudomonas sp. OE 28.3",11.850729247718,19.4941249192526,3.06645557205345,6.35721746530909,2.05441058495896e-10,1.29719809409224e-07,"Upregulated"
"Moritella yayanosii",10.7498750829555,18.7073942646258,2.96387049423026,6.31181230794101,2.75786580377134e-10,1.65430580239224e-07,"Upregulated"
"Bradyrhizobium sp. 187",18.8124425446793,-20.1476603836783,3.21691504466601,-6.26303775633905,3.77549157482436e-10,2.15688440110323e-07,"Downregulated"
"Olleya sp. YS",13.3424239932039,19.6981091733242,3.23365369984061,6.09159514338071,1.11791112533538e-09,6.09617262302207e-07,"Upregulated"
"Gardnerella leopoldii",15.4702141977544,22.1164661747101,3.63761712627096,6.07993238622734,1.20233236514134e-09,6.27147016721767e-07,"Upregulated"
"Microbacterium sp. PAMC 28756",55.9990339626424,25.0665729586748,4.1506718324601,6.0391603987198,1.54918190514541e-09,7.74397304834561e-07,"Upregulated"
"Pseudomonas hunanensis",16.7528336247886,-24.1235112762732,4.01851914146394,-6.00308482479569,1.93603406395604e-09,9.29064026611225e-07,"Downregulated"
"Qipengyuania xiapuensis",10.4451366263139,-20.837018397023,3.50012164512637,-5.95322691885204,2.62906369127751e-09,1.21311065785601e-06,"Downregulated"
"Bacillus sp. HSf4",14.7920507335276,19.7514849353742,3.35176929443072,5.89285335604485,3.79583246198032e-09,1.68661489060659e-06,"Upregulated"
"Virgibacillus salarius",23.656887904207,19.3862421943771,3.32463409657321,5.83109046928174,5.50663172057896e-09,2.22453501978606e-06,"Upregulated"
"Prochlorococcus sp. MIT 0604",10.6955608110071,18.0829288577371,3.09868835051566,5.8356720044879,5.35741956097006e-09,2.22453501978606e-06,"Upregulated"
"Candidatus Nitrospira allomarina",8.98617336296581,-20.5494072610438,3.52513295390478,-5.82939921124997,5.56272823152303e-09,2.22453501978606e-06,"Downregulated"
"Streptomyces sp. V17-9",12.4457902113755,21.0393315099242,3.62921785228321,5.79720820470668,6.74279595417804e-09,2.6094620342669e-06,"Upregulated"
"Bacillus sp. FSL P2-0069",14.35787987153,19.9277011180404,3.45136405317172,5.77386239499346,7.74747151724389e-09,2.90457549351172e-06,"Upregulated"
