"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_expression"
"Chryseobacterium sp. SG20098",71.0826130487619,-24.0709211226206,1.69450284302775,-14.2052999330532,8.49382147184824e-46,7.50853818111384e-42,"Downregulated"
"Candidatus Profftella armatura (Diaphorina cf. continua)",44.5964581356711,-24.1562871341098,2.51283146600869,-9.61317440539651,7.03461077197517e-22,3.10929796121303e-18,"Downregulated"
"Lactobacillus sp. PV037",23.2274636494836,-23.3142549936034,2.8151003927064,-8.28185561481497,1.21270574253331e-16,3.57343958799816e-13,"Downregulated"
"Stenotrophomonas sp. Pemsol",25.961328526132,-24.1086376635608,3.26490726142551,-7.3841722698839,1.53404719777859e-13,3.39024430709068e-10,"Downregulated"
"Paraburkholderia largidicola",19.6799452602171,-24.3062248782755,3.34264817425732,-7.27154747109331,3.55392438255921e-13,6.28333830836468e-10,"Downregulated"
"Flavobacterium okayamense",5014.4205010436,-7.79033478063312,1.30471097890213,-5.97092758979343,2.35908436623065e-09,3.47571763291316e-06,"Downregulated"
"Sporosarcina sp. Te-1",1832.97621833279,-6.7424431941256,1.19060788700071,-5.66302581037881,1.48726778481902e-08,1.87820674540002e-05,"Downregulated"
"Janthinobacterium sp. B9-8",9.85539226095115,-6.41543883646293,1.16021373686797,-5.52953187210279,3.21086462613533e-08,3.54800541187954e-05,"Downregulated"
"Limosilactobacillus vaginalis",36211.6797645436,-6.30348212113379,1.24463979817643,-5.06450310392554,4.09466966658932e-07,0.000402187553918329,"Downregulated"
"Limosilactobacillus mucosae",286.774869663015,-5.30349517196525,1.05872591292315,-5.0093183771447,5.46231471020421e-07,0.000482868620382053,"Downregulated"
"Lacticaseibacillus rhamnosus",639.530086118072,-5.11846899786199,1.0611180839856,-4.82365636314184,1.40950173578029e-06,0.00113272684948161,"Downregulated"
"Companilactobacillus farciminis",544.853573312801,-5.11410902954766,1.08404238243438,-4.71762830717299,2.38609916849726e-06,0.00175775972079298,"Downregulated"
"Aminobacterium sp. MB27-C1",9.06261667077916,-5.80737606359641,1.23593810634851,-4.69875961730306,2.617463096635e-06,0.0017798749057118,"Downregulated"
"Lactobacillus helsingborgensis",546.603055987985,-5.5958283478891,1.19953355991019,-4.66500357714714,3.0861167013268e-06,0.00194866225998063,"Downregulated"
"uncultured beta proteobacterium",13.9982071090971,-20.8772469480946,4.50607027763966,-4.63313833601157,3.60163693692681e-06,0.00212256470149553,"Downregulated"
"Dietzia cercidiphylli",36.3010322799001,-24.0589330345866,5.24735155377925,-4.58496687100349,4.5405842442008e-06,0.00250867279492094,"Downregulated"
"Sphingosinicellaceae bacterium",118.69602908404,2.0326130799263,0.446530156955545,4.55201748026319,5.31339196487425e-06,0.00252013270306561,"Upregulated"
"Rheinheimera sp. MM224",289.603727240204,-5.17366509145842,1.13472671991136,-4.55939302448308,5.1301681387185e-06,0.00252013270306561,"Downregulated"
"Bradyrhizobium sp. 12LoS14_2",51.2365813810664,-24.4591197482436,5.37802965421798,-4.54797041311596,5.4165748142813e-06,0.00252013270306561,"Downregulated"
"Elusimicrobium minutum",25.0622350719516,2.1726063306496,0.479726703743341,4.52884176281329,5.93078920347771e-06,0.00262140882793715,"Upregulated"
"Candidatus Walczuchella endosymbiont of Icerya purchasi",66.2074698500007,3.29341450778059,0.729678869724743,4.51351223727085,6.37627686972676e-06,0.00268410892992307,"Upregulated"
"Malaciobacter mytili",329.680974342509,-4.87751964992222,1.08387665859737,-4.50006890658034,6.79314382106202e-06,0.00272960869900856,"Downregulated"
"Snodgrassella alvi",154.744285899928,-2.38446471553676,0.53400176485647,-4.46527497184894,7.99659820054605e-06,0.00307347513447074,"Downregulated"
"Lactobacillus sp. IBH004",1744.65139753826,-5.63074686066198,1.26710398287294,-4.44379225128408,8.83869551079893e-06,0.00325558617981094,"Downregulated"
"Romboutsia sp. 13432",15.1154174740965,-18.8764125772362,4.26886152050755,-4.42188449696815,9.78437599484379e-06,0.00345975535177677,"Downregulated"
"Clostridium beijerinckii",1344.59745901219,-3.92114460309649,0.894435735081472,-4.38393106324104,1.16556670788891e-05,0.00367986060633499,"Downregulated"
"Limosilactobacillus reuteri",8411.40546310533,-5.1943269704407,1.18290110328773,-4.39117602985042,1.12739220106229e-05,0.00367986060633499,"Downregulated"
"Lactobacillus acidophilus",7105.01875683229,-5.44838615692642,1.23917872472991,-4.39677186849214,1.09872717754997e-05,0.00367986060633499,"Downregulated"
"Actinobacillus indolicus",13.2741681090497,-6.88487523036626,1.57964955087263,-4.35848269419185,1.30967276418465e-05,0.00399224387427321,"Downregulated"
"uncultured compost bacterium",15.8652174776466,-23.119978825826,5.3293229762865,-4.33825814811774,1.43616408025813e-05,0.00423189682316063,"Downregulated"
"Lactobacillus panisapium",896.115065400454,-4.45847416773071,1.03225804070053,-4.31914694963772,1.56633464430377e-05,0.00446658008246625,"Downregulated"
"Lactobacillus helveticus",21122.1631713712,-5.45051161895135,1.26632724518795,-4.30418885770903,1.67598650667121e-05,0.00448375176271103,"Downregulated"
"Fervidibacillus albus",29.3573031989292,-2.60917181201996,0.607697923078128,-4.29353419344254,1.75851217207543e-05,0.00448375176271103,"Downregulated"
"Microvirgula aerodenitrificans",23.6442582544969,-3.02301983250878,0.704431394382973,-4.29143257471753,1.77524108252134e-05,0.00448375176271103,"Downregulated"
"Microbacterium plantarum",4.75488964563909,17.5356802943552,4.0811326304286,4.29676805002872,1.73306370392728e-05,0.00448375176271103,"Upregulated"
"Lactobacillus amylovorus",103381.431913155,-5.41062455337661,1.26488723332393,-4.27755487669703,1.88957385339989e-05,0.00463995357334863,"Downregulated"
"Lactobacillus intestinalis",372.383243902255,-5.12219277313453,1.19925704175919,-4.2711383754902,1.94477684703079e-05,0.0046464398183114,"Downregulated"
"Lactobacillus johnsonii",31368.2072421494,-5.34199635464486,1.25788882799627,-4.24679529363043,2.16849917744158e-05,0.00476619393567426,"Downregulated"
"Terrisporobacter mayombei",190.256127646392,-4.31452204080899,1.01685448183255,-4.24300833392941,2.20543242211733e-05,0.00476619393567426,"Downregulated"
"Paraburkholderia tropica",309.760015930889,-3.52178281666537,0.828771572830407,-4.2494010800079,2.14342836459629e-05,0.00476619393567426,"Downregulated"
"Microcoleus vaginatus",305.062348092172,-3.51181647831481,0.82777703250751,-4.24246667931433,2.21076373124453e-05,0.00476619393567426,"Downregulated"
"Lactobacillus mulieris",331.186161655947,-4.50424508047233,1.06305471778205,-4.23707736312006,2.26448128165519e-05,0.00476619393567426,"Downregulated"
"Acidimicrobiia bacterium",78.3042409301359,-2.33214621181665,0.554819907371869,-4.20342922240085,2.62901383213217e-05,0.00540476332001125,"Downregulated"
"Escherichia fergusonii",2520.485548145,-4.10223454551087,0.981351344398192,-4.18018945908362,2.91266322986485e-05,0.00552910780730353,"Downregulated"
"Lentilactobacillus parabuchneri",732.119687620851,-5.12770211262726,1.22728402774835,-4.17808917633747,2.93968401519531e-05,0.00552910780730353,"Downregulated"
"Flagellimonas oceani",125.057295577562,-3.90084527978461,0.93117825778592,-4.189149872399,2.80001436415195e-05,0.00552910780730353,"Downregulated"
"Acinetobacter soli",39.6508745741075,-3.18347893361823,0.760925146578178,-4.18369526612978,2.86808514605241e-05,0.00552910780730353,"Downregulated"
"Streptomyces narbonensis",10.6683527767479,-20.858766674336,5.01085034728856,-4.1627199434569,3.14478982493923e-05,0.00579165459426309,"Downregulated"
"Lactobacillus crispatus",3714768.7734848,-5.35638577920667,1.28970563724997,-4.15318474580608,3.27879815136138e-05,0.00591521952204788,"Downregulated"
"Lactobacillus ultunensis",1437.29728107103,-5.3460228449467,1.29127190639561,-4.14012170362268,3.47121609730072e-05,0.00613711006002767,"Downregulated"
"Lactobacillus acetotolerans",553.549038638716,-5.25548497201617,1.27331352210907,-4.12740843536412,3.66874438861541e-05,0.00635915694026671,"Downregulated"
"Limosilactobacillus oris",4886.68514619745,-5.17737020276328,1.25757892624758,-4.11693460720733,3.83944953419117e-05,0.00652706420812498,"Downregulated"
"Lactobacillus isalae",22.1956402411865,-5.31651294625085,1.29483445396148,-4.10594028447826,4.02673505441685e-05,0.0065929367452124,"Downregulated"
"Lactobacillus kullabergensis",404.622425915824,-5.39766667609537,1.31461088566801,-4.10590444285923,4.02735955024287e-05,0.0065929367452124,"Downregulated"
"Moraxella catarrhalis",31.2169562531442,-3.73677402983515,0.911458628919485,-4.09977360603302,4.13554491895416e-05,0.00664694856064632,"Downregulated"
"Candidatus Phytoplasma citri",21.0876539490856,-23.481710059376,5.74748287167024,-4.08556416498761,4.39698468374629e-05,0.00694095439362808,"Downregulated"
"Lactobacillus xylocopicola",389.725552119818,-3.95292299315422,0.969575556109737,-4.07696230401545,4.56278864905528e-05,0.00695431925131874,"Downregulated"
"Neptunomonas japonica",54.2109160492497,1.98773209921009,0.487235229512954,4.07961489401547,4.51103700151623e-05,0.00695431925131874,"Upregulated"
"Cellvibrio sp. PSBB006",147.93668348486,-3.99431726718995,0.982909192495347,-4.06377038457584,4.82863283853988e-05,0.00723476513435467,"Downregulated"
"Lachnospiraceae bacterium GAM79",601.208512161502,-4.03443176398804,0.995856187806464,-4.05121925573866,5.09514346258494e-05,0.00738378167364768,"Downregulated"
