"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_expression"
"Lactobacillus sp.",88.2298844937978,-24.8826100437483,4.17583103171078,-5.95872051689654,2.54220437181015e-09,2.20154898598759e-06,"Downregulated"
"Methylobacterium radiodurans",17767.2933423566,-9.39045587661004,1.61603124249078,-5.81081332446061,6.21700576152115e-09,2.69196349473866e-06,"Downregulated"
"Methylobacterium organophilum",798.046115856858,-6.65086030998047,1.22746737354167,-5.41836015631963,6.01481582910928e-08,1.73627683600288e-05,"Downregulated"
"Flavobacterium okayamense",5014.4205010436,-6.92936524593186,1.30401237391639,-5.31387997885377,1.07315315277863e-07,2.32337657576573e-05,"Downregulated"
"Sporosarcina sp. Te-1",1832.97621833279,-5.87323754843955,1.18938747220576,-4.93803548943341,7.8913484003052e-07,0.000136678154293286,"Downregulated"
"Streptomyces sp. HUAS MG91",178.740603513483,-2.92082505773568,0.674231585709828,-4.33207983672354,1.47707358039059e-05,0.00213190953436375,"Downregulated"
"Paenibacillus sp. FSL W8-0194",113.867557112659,-3.01537071522951,0.720628374910005,-4.18436300902817,2.85966832302202e-05,0.00353781823962438,"Downregulated"
"Methylobacterium sp. OTU13CASTA1",264.121884107899,-5.98638440912547,1.47018409593737,-4.07186040555597,4.66391288356938e-05,0.00504868569646385,"Downregulated"
"Limosilactobacillus vaginalis",36211.6797645436,-5.01619482625679,1.24459246957328,-4.03039143244748,5.56840443820282e-05,0.0053580424927596,"Downregulated"
"Lacticaseibacillus rhamnosus",639.530086118072,-4.01285481989196,1.05982508737478,-3.78633688492119,0.000152884373195667,0.0122237124721369,"Downregulated"
"Companilactobacillus farciminis",544.853573312801,-4.09512528570976,1.08265294476897,-3.78249124569059,0.0001552665556507,0.0122237124721369,"Downregulated"
"Lactobacillus helveticus",21122.1631713712,-4.66983607651258,1.26630283980798,-3.68777193709895,0.000226226270843551,0.0123781244033467,"Downregulated"
"Limosilactobacillus reuteri",8411.40546310533,-4.42232161989873,1.18284426859719,-3.73871839032827,0.000184960775351433,0.0123781244033467,"Downregulated"
"Limosilactobacillus oris",4886.68514619745,-4.62220625970714,1.25754509913501,-3.67557892189034,0.000237310662653267,0.0123781244033467,"Downregulated"
"Martelella mediterranea",157.004601080202,-3.00603307264163,0.817300569835137,-3.6780019292633,0.000235068182293663,0.0123781244033467,"Downregulated"
"Heyndrickxia sporothermodurans",4205.8851161085,-3.98322674380398,1.085484336753,-3.66953866484981,0.000242988585285097,0.0123781244033467,"Downregulated"
"Lactobacillus helsingborgensis",546.603055987985,-4.43159160794022,1.19742038655126,-3.70094885448194,0.000214794771122652,0.0123781244033467,"Downregulated"
